market_id,symbol,archetype,relevance,split,entry_date,entry_prob,entry_price,exit_date,exit_price,exit_reason,peak_pct,trough_pct,return_pct,spy_return,qqq_return,excess_spy,excess_qqq,holding_days
554002,USO,Middle East Oil Disruption,0.585,train,2025-06-20,0.895,83.12,2025-06-23,76.86,trailing_2.5ATR,0.0,-8.07,-7.53,0.987749011881256,0.9149074972690352,-8.517749011881257,-8.444907497269035,3
554002,XLE,Middle East Oil Disruption,0.52,train,2025-06-20,0.895,44.49,2025-06-24,42.68,trailing_2.5ATR,0.51,-4.93,-4.07,2.1033855057841055,2.4581006751600576,-6.173385505784106,-6.528100675160058,4
554003,USO,Middle East Oil Disruption,0.585,train,2025-06-20,0.799,83.12,2025-06-23,76.86,trailing_2.5ATR,0.0,-8.07,-7.53,0.987749011881256,0.9149074972690352,-8.517749011881257,-8.444907497269035,3
554003,XLE,Middle East Oil Disruption,0.52,train,2025-06-20,0.799,44.49,2025-06-24,42.68,trailing_2.5ATR,0.51,-4.93,-4.07,2.1033855057841055,2.4581006751600576,-6.173385505784106,-6.528100675160058,4
554004,USO,Middle East Oil Disruption,0.585,train,2025-06-20,0.785,83.12,2025-06-23,76.86,trailing_2.5ATR,0.0,-8.07,-7.53,0.987749011881256,0.9149074972690352,-8.517749011881257,-8.444907497269035,3
554004,XLE,Middle East Oil Disruption,0.52,train,2025-06-20,0.785,44.49,2025-06-24,42.68,trailing_2.5ATR,0.51,-4.93,-4.07,2.1033855057841055,2.4581006751600576,-6.173385505784106,-6.528100675160058,4
554005,USO,Middle East Oil Disruption,0.585,train,2025-06-20,0.795,83.12,2025-06-23,76.86,trailing_2.5ATR,0.0,-8.07,-7.53,0.987749011881256,0.9149074972690352,-8.517749011881257,-8.444907497269035,3
554005,XLE,Middle East Oil Disruption,0.52,train,2025-06-20,0.795,44.49,2025-06-24,42.68,trailing_2.5ATR,0.51,-4.93,-4.07,2.1033855057841055,2.4581006751600576,-6.173385505784106,-6.528100675160058,4
554006,USO,Middle East Oil Disruption,0.585,train,2025-06-20,0.78,83.12,2025-06-23,76.86,trailing_2.5ATR,0.0,-8.07,-7.53,0.987749011881256,0.9149074972690352,-8.517749011881257,-8.444907497269035,3
554006,XLE,Middle East Oil Disruption,0.52,train,2025-06-20,0.78,44.49,2025-06-24,42.68,trailing_2.5ATR,0.51,-4.93,-4.07,2.1033855057841055,2.4581006751600576,-6.173385505784106,-6.528100675160058,4
554676,USO,Middle East Oil Disruption,0.675,train,2025-06-23,0.78,76.41,2025-06-30,73.11,resolution-1d,0.0,-5.81,-4.32,2.949254428366599,3.759990466737251,-7.269254428366599,-8.07999046673725,7
554676,XLE,Middle East Oil Disruption,0.6,train,2025-06-23,0.78,43.01,2025-06-30,42.4,resolution-1d,0.0,-2.06,-1.42,2.949254428366599,3.759990466737251,-4.369254428366599,-5.179990466737251,7
554677,USO,Middle East Oil Disruption,0.675,train,2025-06-25,0.995,73.31,2025-06-30,73.11,resolution-1d,1.87,-0.8,-0.27,1.7673574507587775,1.9365884440805115,-2.0373574507587775,-2.2065884440805115,5
554677,XLE,Middle East Oil Disruption,0.6,train,2025-06-25,0.995,42.27,2025-06-30,42.4,resolution-1d,1.63,-0.33,0.32,1.7673574507587775,1.9365884440805115,-1.4473574507587774,-1.6165884440805114,5
566025,ASND,Ascendis Pharma FDA Approval,0.95,train,2025-07-28,0.997,164.16,2025-07-31,169.08,profit_lock_3%,3.9,-2.01,3.0,-0.7630209019584333,-0.5509213929860812,3.7630209019584333,3.5509213929860812,3
566028,PTCT,PTC Therapeutics FDA Approval,0.95,train,2025-07-26,0.775,44.34,2025-07-30,50.1,profit_lock_13%,13.87,-0.43,13.0,-0.38935856740731634,-0.021120694563603326,13.389358567407317,13.021120694563603,4
566029,REGN,Regeneron FDA Approval,0.95,train,2025-07-22,0.775,560.93,2025-07-31,545.46,poly<0.55,3.0,-3.44,-2.76,0.5120427143223472,0.66993492483296,-3.272042714322347,-3.42993492483296,9
569179,LENZ,LENZ Therapeutics FDA Approval,0.95,train,2025-07-29,0.805,31.67,2025-08-08,34.68,resolution-1d,2.81,-12.25,9.5,0.30223575868795205,1.285121091182817,9.197764241312047,8.214878908817184,10
