objective,universe,split,policy_id,policy,selected,baseline,objective_score,n_trades,n_days,active_days,sharpe,maxdd,calmar,ann_return,net_pct,hit,turnover,rule
sharpe,all,train,base_hold_to_resolution,"strong>=0.6/conf2d, none, no-poly",False,,0.5418706293340917,105,320,170,0.5418706293340917,0.07518031472177023,0.5954572400519187,0.044766662710459926,0.0571862356948869,0.5619047619047619,8.26875,base_hold_to_resolution
sharpe,all,val,base_hold_to_resolution,"strong>=0.6/conf2d, none, no-poly",False,,0.12050811373495282,69,75,74,0.12050811373495282,0.0981421469127991,0.06845993368165687,0.006718804869025652,0.0019949438930617625,0.5362318840579711,23.184,base_hold_to_resolution
sharpe,all,test,base_hold_to_resolution,"strong>=0.6/conf2d, none, no-poly",False,,5.261522715452959,52,35,34,5.261522715452959,0.022894077867367635,46.868243654148706,1.0730052197248394,0.10655314581703701,0.5384615384615384,37.44,base_hold_to_resolution
sharpe,all,train,A_take_profit_fixed@0.04,"strong>=0.6/conf2d, none, no-poly, TP-fixed@0.04",False,,0.6482414585208531,112,320,165,0.6482414585208531,0.07450728076255808,0.63552795054244,0.047351459443518706,0.060508643078456936,0.5892857142857143,8.82,A_take_profit_fixed@0.04
sharpe,all,val,A_take_profit_fixed@0.04,"strong>=0.6/conf2d, none, no-poly, TP-fixed@0.04",False,,-1.8681754884027457,76,75,74,-1.8681754884027457,0.14003300430124976,-1.9263925749075212,-0.2697585397279205,-0.08932162096018992,0.4868421052631579,25.535999999999998,A_take_profit_fixed@0.04
sharpe,all,test,A_take_profit_fixed@0.04,"strong>=0.6/conf2d, none, no-poly, TP-fixed@0.04",False,,3.0833074699066985,63,35,33,3.0833074699066985,0.03347235683750194,16.105768799878796,0.5390980404118484,0.061718063523724,0.5396825396825397,45.36,A_take_profit_fixed@0.04
sharpe,all,train,A_take_profit_fixed@0.06,"strong>=0.6/conf2d, none, no-poly, TP-fixed@0.06",False,,0.8451123245415522,108,320,170,0.8451123245415522,0.06748897121670105,0.9739047630021077,0.0657278305180573,0.08419255760004662,0.5833333333333334,8.505,A_take_profit_fixed@0.06
sharpe,all,val,A_take_profit_fixed@0.06,"strong>=0.6/conf2d, none, no-poly, TP-fixed@0.06",False,,-1.6100941417732266,74,75,74,-1.6100941417732266,0.13875773186348805,-1.7206813438334965,-0.23875784053015459,-0.07798297942880372,0.4864864864864865,24.864,A_take_profit_fixed@0.06
sharpe,all,test,A_take_profit_fixed@0.06,"strong>=0.6/conf2d, none, no-poly, TP-fixed@0.06",False,,4.325783757143201,60,35,33,4.325783757143201,0.024927297550475735,41.19032630162204,1.0267635199217193,0.10309150157447089,0.55,43.199999999999996,A_take_profit_fixed@0.06
sharpe,all,train,A_take_profit_fixed@0.08,"strong>=0.6/conf2d, none, no-poly, TP-fixed@0.08",False,,0.9700461586264808,108,320,170,0.9700461586264808,0.06954211839301405,1.1061554517137904,0.07692439338415835,0.09867720334218455,0.5833333333333334,8.505,A_take_profit_fixed@0.08
