objective,universe,split,policy_id,policy,selected,baseline,objective_score,n_trades,n_days,active_days,sharpe,maxdd,calmar,ann_return,net_pct,hit,turnover
sharpe,all,train,p000,"strong>=0.6/conf2d, none, poly<0.5",False,,3.9865663538556593,225,358,206,3.9865663538556593,0.03539945262982436,7.9836150400807355,0.2826156024260913,0.42418264483126644,0.72,15.837988826815641
sharpe,all,val,p000,"strong>=0.6/conf2d, none, poly<0.5",False,,-2.366357466170647,94,75,62,-2.366357466170647,0.08475778858004068,-2.551192739143212,-0.21623345481123524,-0.06994645399755495,0.5106382978723404,31.584000000000003
sharpe,all,train,p001,"strong>=0.6/conf2d, fixed@0.03, poly<0.5",False,,3.7827452236722863,233,358,207,3.7827452236722863,0.035808711652058456,7.083704094661631,0.25365831735424416,0.37872223803654426,0.6866952789699571,16.401117318435755
sharpe,all,val,p001,"strong>=0.6/conf2d, fixed@0.03, poly<0.5",False,,-0.3443220780558306,106,75,74,-0.3443220780558306,0.0690322992464254,-0.6494155186228607,-0.044830646416845865,-0.013558030565730017,0.5,35.616
sharpe,all,train,p002,"strong>=0.6/conf2d, fixed@0.05, poly<0.5",False,,3.47453859612307,225,358,206,3.47453859612307,0.03580871165205868,6.535254305514211,0.23401903699903337,0.3481400870649709,0.6933333333333334,15.837988826815641
sharpe,all,val,p002,"strong>=0.6/conf2d, fixed@0.05, poly<0.5",False,,-1.3907417208125838,98,75,74,-1.3907417208125838,0.059684880764350856,-2.434798892301891,-0.1453206815722119,-0.04565955015131562,0.5,32.928000000000004
sharpe,all,train,p003,"strong>=0.6/conf2d, fixed@0.08, poly<0.5",False,,3.9252976173996488,225,358,206,3.9252976173996488,0.03539945262982458,7.814883206366537,0.27664258787138385,0.4147698351595339,0.72,15.837988826815641
sharpe,all,val,p003,"strong>=0.6/conf2d, fixed@0.08, poly<0.5",False,,-2.043717183455862,94,75,74,-2.043717183455862,0.06975825337227826,-2.94402718859255,-0.20537019455671512,-0.06612842211279613,0.48936170212765956,31.584000000000003
sharpe,all,train,p004,"strong>=0.6/conf2d, fixed_trailing@0.03, poly<0.5",False,,4.005153027867031,251,358,204,4.005153027867031,0.02466956772837514,10.383941845243786,0.25616735663875034,0.38264390073382315,0.6653386454183267,17.668156424581007
sharpe,all,val,p004,"strong>=0.6/conf2d, fixed_trailing@0.03, poly<0.5",False,,-0.1815032234195437,120,75,62,-0.1815032234195437,0.07266009026614595,-0.4163988908816449,-0.030255580998183373,-0.009101992758705046,0.4583333333333333,40.32
sharpe,all,train,p005,"strong>=0.6/conf2d, fixed_trailing@0.05, poly<0.5",False,,3.652322421995388,232,358,207,3.652322421995388,0.02466956772837514,9.528550343446733,0.23506521805089142,0.3497640642202806,0.6681034482758621,16.33072625698324
sharpe,all,val,p005,"strong>=0.6/conf2d, fixed_trailing@0.05, poly<0.5",False,,-1.9059227647020502,108,75,72,-1.9059227647020502,0.08555850092757722,-2.3620518221079316,-0.20209361301280693,-0.06498402666402614,0.49074074074074076,36.288000000000004
sharpe,all,train,p006,"strong>=0.6/conf2d, fixed_trailing@0.08, poly<0.5",False,,4.346964896197005,228,358,206,4.346964896197005,0.024669567728375252,12.36555397887521,0.3050528713807421,0.4597057740757955,0.7149122807017544,16.049162011173184
sharpe,all,val,p006,"strong>=0.6/conf2d, fixed_trailing@0.08, poly<0.5",False,,-1.2579324225483217,96,75,74,-1.2579324225483217,0.06603779767619711,-2.0111851040639546,-0.13281423499155687,-0.04152454866560318,0.5,32.256
sharpe,all,train,p007,"strong>=0.6/conf2d, close_vol_trailing@1.5, poly<0.5",False,,3.343362614709094,279,358,194,3.343362614709094,0.02307653364563378,9.84520545156169,0.2271932148511404,0.337558652579365,0.6021505376344086,19.639106145251393
sharpe,all,val,p007,"strong>=0.6/conf2d, close_vol_trailing@1.5, poly<0.5",False,,-0.936455381649835,120,75,61,-0.936455381649835,0.08300399413497972,-1.4953459836630825,-0.12411968925773598,-0.03867449357301145,0.4,40.32
sharpe,all,train,p008,"strong>=0.6/conf2d, close_vol_trailing@2, poly<0.5",False,,3.6513428224914386,259,358,203,3.6513428224914386,0.02466956772837514,10.483929315067057,0.25863400429754435,0.3865025179297079,0.6332046332046332,18.231284916201115
sharpe,all,val,p008,"strong>=0.6/conf2d, close_vol_trailing@2, poly<0.5",False,,0.273112891053972,113,75,62,0.273112891053972,0.07518713114131215,0.3587684010318161,0.026974766817738027,0.007953294329773097,0.4424778761061947,37.968
sharpe,all,train,p009,"strong>=0.6/conf2d, close_vol_trailing@3, poly<0.5",False,,3.7034756308773127,245,358,205,3.7034756308773127,0.03517364497522879,7.614978485591153,0.2678465497461886,0.40094196074784283,0.6530612244897959,17.24581005586592
sharpe,all,val,p009,"strong>=0.6/conf2d, close_vol_trailing@3, poly<0.5",False,,-0.5038307542411424,113,75,74,-0.5038307542411424,0.09275312318547335,-0.7673388977152054,-0.07117307930478378,-0.02173439577467462,0.4247787610619469,37.968
sharpe,all,train,p010,"strong>=0.6/conf2d, none, poly<0.55",False,,4.396329448301055,228,358,207,4.396329448301055,0.035399452629824246,9.252739345334266,0.3275419081512714,0.4955695920728431,0.7543859649122807,16.049162011173184
sharpe,all,val,p010,"strong>=0.6/conf2d, none, poly<0.55",False,,-1.6022742345986374,92,75,74,-1.6022742345986374,0.06612667690950202,-2.7543133923172167,-0.18213359180127509,-0.058083053844874555,0.4891304347826087,30.912
sharpe,all,train,p011,"strong>=0.6/conf2d, fixed@0.03, poly<0.55",False,,3.880993079246102,232,358,207,3.880993079246102,0.03580871165205857,7.449021501278955,0.26673986302928254,0.39920503647841077,0.7198275862068966,16.33072625698324
sharpe,all,val,p011,"strong>=0.6/conf2d, fixed@0.03, poly<0.55",False,,0.24627516119039897,107,75,74,0.24627516119039897,0.060566446368352844,0.37310363579823047,0.022597561347410977,0.006672765218346033,0.5046728971962616,35.952
sharpe,all,train,p012,"strong>=0.6/conf2d, fixed@0.05, poly<0.55",False,,3.982375898177619,227,358,207,3.982375898177619,0.03580871165205879,7.768576763760088,0.278182725280369,0.41719515249669725,0.7312775330396476,15.97877094972067
sharpe,all,val,p012,"strong>=0.6/conf2d, fixed@0.05, poly<0.55",False,,-0.26372602779677295,101,75,74,-0.26372602779677295,0.049466139660995556,-0.7030235244829629,-0.03477585984703957,-0.010478916412958394,0.49504950495049505,33.936
sharpe,all,train,p013,"strong>=0.6/conf2d, fixed@0.08, poly<0.55",False,,4.239601179549591,228,358,207,4.239601179549591,0.03539945262982458,8.77785554601348,0.31073128159254715,0.46873693084912627,0.75,16.049162011173184
sharpe,all,val,p013,"strong>=0.6/conf2d, fixed@0.08, poly<0.55",False,,-1.2862970668565643,96,75,74,-1.2862970668565643,0.06601836321713261,-2.13011418664377,-0.14062665206781544,-0.04410261398164772,0.5208333333333334,32.256
sharpe,all,train,p014,"strong>=0.6/conf2d, fixed_trailing@0.03, poly<0.55",False,,3.891013333787365,253,358,204,3.891013333787365,0.024669567728375252,10.021537279514922,0.24722699265943082,0.36868506940462287,0.6877470355731226,17.808938547486033
sharpe,all,val,p014,"strong>=0.6/conf2d, fixed_trailing@0.03, poly<0.55",False,,0.13142800724339238,118,75,74,0.13142800724339238,0.07137525555614643,0.12268027269313302,0.008756335815170102,0.0025980779320480263,0.4576271186440678,39.648
sharpe,all,train,p015,"strong>=0.6/conf2d, fixed_trailing@0.05, poly<0.55",False,,3.8918253797371585,234,358,207,3.8918253797371585,0.02466956772837514,10.340268190628334,0.25508994645826877,0.3809594898548201,0.7051282051282052,16.471508379888267
sharpe,all,val,p015,"strong>=0.6/conf2d, fixed_trailing@0.05, poly<0.55",False,,-0.03785772164463506,107,75,74,-0.03785772164463506,0.07953593447960938,-0.15049208384121424,-0.011969528520094697,-0.003577436899605546,0.4953271028037383,35.952
sharpe,all,train,p016,"strong>=0.6/conf2d, fixed_trailing@0.08, poly<0.55",False,,4.692883438310845,230,358,207,4.692883438310845,0.024669567728375252,13.829921793565948,0.3411781923645081,0.5174407754133481,0.7521739130434782,16.18994413407821
sharpe,all,val,p016,"strong>=0.6/conf2d, fixed_trailing@0.08, poly<0.55",False,,-1.119431695986255,97,75,74,-1.119431695986255,0.06601836321713261,-1.8761856111991038,-0.12386270314290038,-0.03859055697981029,0.5154639175257731,32.592
sharpe,all,train,p017,"strong>=0.6/conf2d, close_vol_trailing@1.5, poly<0.55",False,,3.476399395362391,279,358,191,3.476399395362391,0.02307653364563378,10.089195100230734,0.23282365018783802,0.3462852079849936,0.6057347670250897,19.639106145251393
sharpe,all,val,p017,"strong>=0.6/conf2d, close_vol_trailing@1.5, poly<0.55",False,,-0.6444191507335502,123,75,61,-0.6444191507335502,0.0838353052351467,-1.0748505361947531,-0.09011042278404824,-0.027713505961475815,0.43089430894308944,41.328
sharpe,all,train,p018,"strong>=0.6/conf2d, close_vol_trailing@2, poly<0.55",False,,4.25934664729355,257,358,202,4.25934664729355,0.021435527655114472,14.145087092777839,0.30320740556124215,0.45677422955697167,0.6653696498054474,18.09050279329609
sharpe,all,val,p018,"strong>=0.6/conf2d, close_vol_trailing@2, poly<0.55",False,,-0.029195906043656628,114,75,62,-0.029195906043656628,0.06539959594853839,-0.17958043480130423,-0.01174448787626814,-0.0035098970385581962,0.4473684210526316,38.304
sharpe,all,train,p019,"strong>=0.6/conf2d, close_vol_trailing@3, poly<0.55",False,,3.7466434656332477,242,358,205,3.7466434656332477,0.03517364497522879,7.378322120109049,0.2595224827655931,0.38789315902335497,0.6652892561983471,17.03463687150838
sharpe,all,val,p019,"strong>=0.6/conf2d, close_vol_trailing@3, poly<0.55",False,,1.8284654363234583,107,75,74,1.8284654363234583,0.04246322111171319,5.8877129394924665,0.2500112563919634,0.06866953688099864,0.5046728971962616,35.952
sharpe,all,train,p020,"strong>=0.65/conf2d, none, poly<0.5",False,,3.815096577321285,217,358,203,3.815096577321285,0.03539945262982436,7.4784724878247575,0.2647338325761972,0.39605823595159184,0.6912442396313364,15.27486033519553
sharpe,all,val,p020,"strong>=0.65/conf2d, none, poly<0.5",False,,-0.6915344169784627,87,75,74,-0.6915344169784627,0.06291207999852011,-1.57950563662772,-0.09936998496963656,-0.030668897984459376,0.5287356321839081,29.232
sharpe,all,train,p021,"strong>=0.65/conf2d, fixed@0.03, poly<0.5",False,,3.431973248326965,220,358,204,3.431973248326965,0.03580871165205868,6.362546330443941,0.22783458691973113,0.338551860439934,0.6545454545454545,15.486033519553072
sharpe,all,val,p021,"strong>=0.65/conf2d, fixed@0.03, poly<0.5",False,,-1.278056393454598,103,75,74,-1.278056393454598,0.08179749911997891,-1.5433915131079479,-0.1262455659352303,-0.03936950993775512,0.46601941747572817,34.608000000000004
sharpe,all,train,p022,"strong>=0.65/conf2d, fixed@0.05, poly<0.5",False,,3.394746737524114,217,358,203,3.394746737524114,0.03580871165205857,6.326575798059202,0.22654652849759427,0.33655743623228385,0.6682027649769585,15.27486033519553
sharpe,all,val,p022,"strong>=0.65/conf2d, fixed@0.05, poly<0.5",False,,-1.1172293233796564,94,75,74,-1.1172293233796564,0.0725557276450739,-1.6155696479419255,-0.11721883136772226,-0.036426518292752896,0.48936170212765956,31.584000000000003
sharpe,all,train,p023,"strong>=0.65/conf2d, fixed@0.08, poly<0.5",False,,3.7528212271918875,217,358,203,3.7528212271918875,0.0353994526298248,7.3120930532323465,0.25884409166276945,0.3868313081320738,0.6912442396313364,15.27486033519553
sharpe,all,val,p023,"strong>=0.65/conf2d, fixed@0.08, poly<0.5",False,,-0.7453285114461486,88,75,74,-0.7453285114461486,0.0679196020741969,-1.476693199562505,-0.10029641449995796,-0.030965760796009656,0.5227272727272727,29.568
sharpe,all,train,p024,"strong>=0.65/conf2d, fixed_trailing@0.03, poly<0.5",False,,3.6759754585397744,239,358,202,3.6759754585397744,0.020269877946527792,10.858235562013542,0.22009510955666212,0.3265813511734694,0.6485355648535565,16.823463687150838
sharpe,all,val,p024,"strong>=0.65/conf2d, fixed_trailing@0.03, poly<0.5",False,,-0.2149382390777967,113,75,74,-0.2149382390777967,0.06963604197009043,-0.42234898936376475,-0.029410711949360402,-0.008845137208458254,0.4424778761061947,37.968
sharpe,all,train,p025,"strong>=0.65/conf2d, fixed_trailing@0.05, poly<0.5",False,,3.448349739859647,225,358,204,3.448349739859647,0.024038966286943797,9.075066613322566,0.21815522036943036,0.3235859546929205,0.6488888888888888,15.837988826815641
sharpe,all,val,p025,"strong>=0.65/conf2d, fixed_trailing@0.05, poly<0.5",False,,-1.0444003727435849,104,75,74,-1.0444003727435849,0.09624672470213325,-1.2650154727535443,-0.12175359595004931,-0.03790233462092485,0.4807692307692308,34.944
sharpe,all,train,p026,"strong>=0.65/conf2d, fixed_trailing@0.08, poly<0.5",False,,4.123912767832036,218,358,203,4.123912767832036,0.024038966286943797,11.71863998020829,0.2817039914130588,0.42274485209019486,0.6880733944954128,15.345251396648045
sharpe,all,val,p026,"strong>=0.65/conf2d, fixed_trailing@0.08, poly<0.5",False,,-0.8678101063692212,89,75,74,-0.8678101063692212,0.06310878879694626,-1.7136512190043856,-0.10814645285177726,-0.03348986630136108,0.5168539325842697,29.904
sharpe,all,train,p027,"strong>=0.65/conf2d, close_vol_trailing@1.5, poly<0.5",False,,3.062653697149158,260,358,191,3.062653697149158,0.026364785392125167,7.524103906254391,0.19837138475644767,0.2931524596691648,0.5923076923076923,18.30167597765363
sharpe,all,val,p027,"strong>=0.65/conf2d, close_vol_trailing@1.5, poly<0.5",False,,-1.7092870878943722,119,75,62,-1.7092870878943722,0.10467357257554777,-1.9682322705474002,-0.20602190341667848,-0.06635643625451315,0.3697478991596639,39.984
