market_id,symbol,archetype,relevance,split,entry_date,entry_prob,entry_price,exit_date,exit_price,exit_reason,rf_target,peak_pct,trough_pct,return_pct
613066,DPZ,earnings_beat+direct_company,0.95,train,2025-10-02,0.795,431.24,2025-10-07,410.4,trailing_2.5ATR,-0.017,0.0,-4.96,-4.83
613067,JNJ,earnings_beat+direct_company,0.95,train,2025-09-26,0.855,179.71,2025-09-29,181.62,rf_target,0.0025,0.0,-1.33,1.06
614609,IBKR,earnings_beat+direct_company,0.95,train,2025-09-28,0.74,68.8,2025-10-03,71.55,profit_lock_4%,-0.0163,4.11,-3.17,4.0
614613,BAC,earnings_beat+direct_company,0.95,train,2025-09-27,0.805,52.42,2025-10-02,50.55,trailing_2.5ATR,-0.0303,0.29,-4.48,-3.56
614614,MS,earnings_beat+direct_company,0.95,train,2025-09-27,0.81,161.16,2025-10-02,154.95,trailing_2.5ATR,-0.0257,0.66,-4.62,-3.86
614615,TSLA,earnings_beat+direct_company,0.95,train,2025-10-03,0.745,429.83,2025-10-07,451.32,profit_lock_5%,-0.0225,5.52,-3.08,5.0
614616,SCHW,earnings_beat+direct_company,0.95,train,2025-09-27,0.81,96.89,2025-10-01,92.62,trailing_2.5ATR,-0.0274,0.42,-4.87,-4.41
614637,MKC,earnings_beat+direct_company,0.95,train,2025-09-28,0.725,66.8,2025-10-01,67.76,rf_target,0.0086,0.72,-2.86,1.44
614638,OMC,earnings_beat+direct_company,0.95,train,2025-09-27,0.765,79.13,2025-10-01,78.39,trailing_2.5ATR,-0.0397,4.84,-2.94,-0.94
614639,CFG,earnings_beat+direct_company,0.95,train,2025-09-27,0.755,53.65,2025-10-08,52.69,trailing_2.5ATR,-0.029,2.96,-3.09,-1.79
614644,ABT,earnings_beat+direct_company,0.95,train,2025-09-27,0.775,133.11,2025-10-14,133.27,poly<0.55,-0.0054,1.76,-3.03,0.12
619541,STT,earnings_beat+direct_company,0.95,train,2025-10-04,0.88,116.9,2025-10-10,112.93,trailing_2.5ATR,-0.0112,1.15,-5.16,-3.4
619556,BLK,earnings_beat+direct_company,0.95,train,2025-10-04,0.865,1179.27,2025-10-10,1132.27,trailing_2.5ATR,-0.0125,0.4,-4.06,-3.99
620069,GBCI,earnings_beat+direct_company,0.95,train,2025-10-04,0.78,48.47,2025-10-15,48.02,resolution-1d,-0.0191,2.25,-4.99,-0.93
619549,USB,earnings_beat+direct_company,0.95,train,2025-10-04,0.8,47.72,2025-10-10,45.81,trailing_2.5ATR,-0.0241,1.07,-5.22,-4.01
619852,UNTY,earnings_beat+direct_company,0.95,train,2025-10-04,0.85,49.52,2025-10-09,50.22,resolution-1d,-0.0052,1.35,-3.53,1.41
619857,AZZ,earnings_beat+direct_company,0.95,train,2025-10-04,0.865,106.94,2025-10-07,105.08,resolution-1d,-0.0042,0.0,-2.23,-1.74
619980,RELL,earnings_beat+direct_company,0.95,train,2025-10-04,0.81,9.62,2025-10-07,9.84,rf_target,0.0103,0.0,-1.87,2.29
619983,RGP,earnings_beat+direct_company,0.95,train,2025-10-04,0.81,4.92,2025-10-07,4.85,resolution-1d,-0.005,0.0,-3.66,-1.42
620038,BYRN,earnings_beat+direct_company,0.95,train,2025-10-04,0.81,23.13,2025-10-08,24.06,profit_lock_4%,0.0079,4.06,-6.79,4.0
619984,APLD,earnings_beat+direct_company,0.95,train,2025-10-04,0.825,27.71,2025-10-08,29.1,profit_lock_5%,-0.0532,5.59,-5.05,5.0
620032,NRIX,earnings_beat+direct_company,0.95,train,2025-10-04,0.8,9.95,2025-10-08,9.98,resolution-1d,-0.0181,1.9,-5.23,0.3
619538,KEY,earnings_beat+direct_company,0.98,train,2025-10-08,0.79,18.09,2025-10-10,17.27,trailing_2.5ATR,-0.0174,1.11,-5.03,-4.55
620048,FAST,earnings_beat+direct_company,0.98,train,2025-10-04,0.755,47.78,2025-10-10,45.72,trailing_2.5ATR,-0.0153,0.48,-4.35,-4.31
619557,TFC,earnings_beat+direct_company,0.98,train,2025-10-07,0.795,45.2,2025-10-10,42.97,trailing_2.5ATR,-0.0266,0.15,-6.42,-4.94
620052,SFBS,earnings_beat+direct_company,0.95,train,2025-10-07,0.87,81.99,2025-10-10,77.54,trailing_2.5ATR,-0.024,0.72,-6.63,-5.43
619560,EFX,earnings_beat+direct_company,0.98,train,2025-10-06,0.88,237.33,2025-10-14,222.84,trailing_2.5ATR,-0.0171,2.97,-6.64,-6.1
627451,AXP,earnings_beat+direct_company,0.99,train,2025-10-08,0.79,323.82,2025-10-15,333.53,profit_lock_3%,-0.0147,3.86,-2.43,3.0
627454,CB,earnings_beat+direct_company,0.98,train,2025-10-08,0.875,287.1,2025-10-15,279.73,trailing_2.5ATR,-0.0156,0.79,-4.09,-2.57
627582,KO,earnings_beat+direct_company,0.99,train,2025-10-08,0.91,66.12,2025-10-10,67.04,rf_target,0.0053,1.03,-0.09,1.39
627587,GM,earnings_beat+direct_company,0.99,train,2025-10-08,0.875,56.4,2025-10-16,58.09,profit_lock_3%,-0.0191,3.28,-3.67,3.0
627649,LMT,earnings_beat+direct_company,1.0,train,2025-10-08,0.83,514.02,2025-10-15,495.59,trailing_2.5ATR,-0.0154,0.23,-5.55,-3.59
627652,MAT,earnings_beat+direct_company,1.0,train,2025-10-08,0.81,18.41,2025-10-10,17.28,trailing_2.5ATR,-0.0147,0.49,-7.44,-6.13
627653,NDAQ,earnings_beat+direct_company,1.0,train,2025-10-08,0.845,89.87,2025-10-16,87.67,trailing_2.5ATR,-0.0155,2.33,-2.67,-2.45
627654,NFLX,earnings_beat+direct_company,1.0,train,2025-10-11,0.855,121.9,2025-10-21,124.14,resolution-1d,-0.0046,2.36,-3.53,1.83
627657,NOC,earnings_beat+direct_company,1.0,train,2025-10-08,0.885,637.95,2025-10-15,615.09,trailing_2.5ATR,-0.0193,0.46,-5.94,-3.58
627658,PM,earnings_beat+direct_company,1.0,train,2025-10-08,0.92,155.27,2025-10-09,156.85,rf_target,0.0022,0.0,-2.0,1.02
627659,PHM,earnings_beat+direct_company,1.0,train,2025-10-08,0.89,127.66,2025-10-13,118.89,trailing_2.5ATR,-0.0122,0.0,-7.09,-6.87
627660,DGX,earnings_beat+direct_company,1.0,train,2025-10-08,0.955,180.89,2025-10-16,186.32,profit_lock_3%,-0.012,3.99,-1.3,3.0
627663,TXN,earnings_beat+direct_company,1.0,train,2025-10-08,0.915,181.6,2025-10-21,180.84,resolution-1d,-0.0165,0.0,-5.77,-0.42
627671,MCO,earnings_beat+direct_company,1.0,train,2025-10-08,0.86,490.09,2025-10-13,472.18,trailing_2.5ATR,-0.0098,1.4,-4.83,-3.65
627672,AMP,earnings_beat+direct_company,1.0,train,2025-10-08,0.845,490.17,2025-10-16,474.41,trailing_2.5ATR,-0.0196,1.22,-5.34,-3.21
627673,T,earnings_beat+direct_company,1.0,train,2025-10-08,0.82,26.25,2025-10-22,25.26,trailing_2.5ATR,-0.0102,0.88,-7.35,-3.78
627694,CME,earnings_beat+direct_company,1.0,train,2025-10-08,0.88,264.94,2025-10-13,272.89,profit_lock_3%,-0.0076,3.42,-2.53,3.0
627695,CHDN,earnings_beat+direct_company,1.0,train,2025-10-10,0.72,90.02,2025-10-21,95.42,profit_lock_6%,-0.005,6.38,-4.34,6.0
627698,EVR,earnings_beat+direct_company,1.0,train,2025-10-08,0.82,318.0,2025-10-28,330.72,profit_lock_4%,-0.0171,4.19,-5.82,4.0
627585,EWBC,earnings_beat+direct_company,1.0,train,2025-10-08,0.84,106.13,2025-10-10,100.91,trailing_2.5ATR,-0.0246,0.58,-6.67,-4.92
627749,VZ,earnings_beat+direct_company,1.0,train,2025-10-11,0.795,39.75,2025-10-22,39.1,trailing_2.5ATR,-0.0131,2.82,-2.09,-1.64
627753,LVS,earnings_beat+direct_company,1.0,train,2025-10-12,0.73,46.47,2025-10-15,48.33,profit_lock_4%,-0.0114,4.17,-1.21,4.0
627752,MMM,earnings_beat+direct_company,1.0,train,2025-10-09,0.845,152.88,2025-10-21,166.64,resolution-1d,-0.0079,2.09,-2.89,9.0
627735,HLT,earnings_beat+direct_company,1.0,train,2025-10-12,0.88,263.36,2025-10-16,259.12,trailing_2.5ATR,-0.0074,2.76,-2.53,-1.61
627736,IBM,earnings_beat+direct_company,1.0,train,2025-10-09,0.895,288.23,2025-10-22,287.51,resolution-1d,-0.0175,0.75,-5.44,-0.25
627739,AAL,earnings_beat+direct_company,1.0,train,2025-10-10,0.85,11.52,2025-10-15,12.21,profit_lock_6%,-0.0072,6.6,-0.87,6.0
637846,OTIS,earnings_beat+direct_company,1.0,train,2025-10-19,0.775,91.51,2025-10-21,92.7,rf_target,0.0088,0.0,-0.73,1.3
637859,WDFC,earnings_beat+direct_company,1.0,train,2025-10-19,0.795,193.07,2025-10-21,198.58,rf_target,0.0175,0.0,-2.94,2.85
637877,HON,earnings_beat+direct_company,1.0,train,2025-10-17,0.845,191.29,2025-10-20,194.18,rf_target,0.012,0.0,-0.46,1.51
637878,INTC,earnings_beat+direct_company,1.0,train,2025-10-17,0.765,37.01,2025-10-20,38.1,rf_target,0.0189,0.0,-2.51,2.95
637884,TMUS,earnings_beat+direct_company,1.0,train,2025-10-17,0.81,229.33,2025-10-22,218.88,trailing_2.5ATR,0.0088,0.53,-4.6,-4.56
637876,HAS,earnings_beat+direct_company,1.0,train,2025-10-17,0.805,74.81,2025-10-23,71.38,trailing_2.5ATR,0.0313,1.38,-7.1,-4.59
637863,LUV,earnings_beat+direct_company,1.0,train,2025-10-19,0.705,34.43,2025-10-22,33.76,poly<0.55,0.0152,1.6,-2.9,-1.95
637869,COUR,earnings_beat+direct_company,1.0,train,2025-10-17,0.83,10.03,2025-10-20,10.62,rf_target,0.0145,0.0,-1.2,5.88
637847,RJF,earnings_beat+direct_company,1.0,train,2025-10-17,0.765,161.49,2025-10-20,164.98,rf_target,0.0204,0.0,-1.96,2.16
637864,AB,earnings_beat+direct_company,1.0,train,2025-10-17,0.76,39.21,2025-10-21,40.07,rf_target,0.014,1.15,-0.51,2.19
637874,FCN,earnings_beat+direct_company,1.0,train,2025-10-17,0.805,152.25,2025-10-21,153.25,poly<0.55,0.0159,0.77,-0.79,0.66
637879,PCG,earnings_beat+direct_company,1.0,train,2025-10-19,0.705,16.68,2025-10-21,16.75,poly<0.55,-0.0024,0.0,-0.9,0.42
