momentum_bucket,signal_count,opened_trade_count,average_momentum,total_signal_net_profit,average_opened_trade_net_profit
0-5%,16464,6000,-5.853668317982642e-06,-16046.417831700595,-2.6744029719500992
10%+,2616,1528,0.17017567329374,-84194.3294350304,-55.10100093915602
5-10%,4824,2792,0.06813955202576201,-40480.73246768188,-14.49882968040182
