date,realized_daily_pnl,realized_signal_notional,daily_return,cumulative_pnl,drawdown
2025-09-04,6.701062623595609,1000.0,0.006701062623595609,6.701062623595609,0.0
2025-09-05,0.0,0.0,0.0,6.701062623595609,0.0
2025-09-08,-36.04316384004024,1000.0,-0.03604316384004024,-29.342101216444632,-36.04316384004024
2025-09-09,0.0,0.0,0.0,-29.342101216444632,-36.04316384004024
2025-09-10,-154.80055127643982,4000.0,-0.038700137819109956,-184.14265249288445,-190.84371511648007
2025-09-11,0.0,0.0,0.0,-184.14265249288445,-190.84371511648007
2025-09-12,61.540142409374376,8000.0,0.007692517801171797,-122.60251008351008,-129.3035727071057
2025-09-15,9.055050336569403,1000.0,0.009055050336569403,-113.54745974694067,-120.24852237053628
2025-09-16,0.0,0.0,0.0,-113.54745974694067,-120.24852237053628
2025-09-17,0.0,0.0,0.0,-113.54745974694067,-120.24852237053628
2025-09-18,0.0,0.0,0.0,-113.54745974694067,-120.24852237053628
2025-09-19,0.0,0.0,0.0,-113.54745974694067,-120.24852237053628
2025-09-22,0.0,0.0,0.0,-113.54745974694067,-120.24852237053628
2025-09-23,0.0,0.0,0.0,-113.54745974694067,-120.24852237053628
2025-09-24,0.0,0.0,0.0,-113.54745974694067,-120.24852237053628
2025-09-25,0.0,0.0,0.0,-113.54745974694067,-120.24852237053628
2025-09-26,0.0,0.0,0.0,-113.54745974694067,-120.24852237053628
2025-09-29,254.7936016883267,5000.0,0.05095872033766534,141.24614194138604,0.0
2025-09-30,0.0,0.0,0.0,141.24614194138604,0.0
2025-10-01,0.0,0.0,0.0,141.24614194138604,0.0
2025-10-02,0.0,0.0,0.0,141.24614194138604,0.0
2025-10-03,0.0,0.0,0.0,141.24614194138604,0.0
2025-10-06,0.0,0.0,0.0,141.24614194138604,0.0
2025-10-07,0.0,0.0,0.0,141.24614194138604,0.0
2025-10-08,0.0,0.0,0.0,141.24614194138604,0.0
2025-10-09,0.0,0.0,0.0,141.24614194138604,0.0
2025-10-10,0.0,0.0,0.0,141.24614194138604,0.0
2025-10-13,-32.74957156382619,2000.0,-0.016374785781913093,108.49657037755986,-32.74957156382618
2025-10-14,0.0,0.0,0.0,108.49657037755986,-32.74957156382618
2025-10-15,0.0,0.0,0.0,108.49657037755986,-32.74957156382618
2025-10-16,0.0,0.0,0.0,108.49657037755986,-32.74957156382618
2025-10-17,-40.16120638180322,1000.0,-0.04016120638180322,68.33536399575664,-72.9107779456294
2025-10-20,0.0,0.0,0.0,68.33536399575664,-72.9107779456294
2025-10-21,0.0,0.0,0.0,68.33536399575664,-72.9107779456294
