event_archetype,trade_count,total_net_profit,win_rate,average_winner,average_loser,payoff_ratio,profit_factor,expectancy,largest_winner,largest_loser,maximum_consecutive_losses
earnings_beat+direct_company,66,101.85991841574841,0.4696969696969697,42.41922036697967,-34.66102608458918,1.223830485094609,1.0839641439409393,1.5433320972083093,166.6820944415507,-135.18947511139774,7
military_escalation+defense_beneficiary,137,-102.35714343490712,0.41605839416058393,37.93613975739632,-28.30896387008122,1.3400751765941434,0.9548035633233273,-0.7471324338314388,180.4335827661682,-74.81553398058252,23
military_escalation+energy_beneficiary,51,1157.794152890848,0.4117647058823529,111.70656671258998,-39.601458269118055,2.820769022026161,1.9745383154183132,22.701846135114664,272.31606831173696,-105.24587162021872,12
