symbol,trade_count,total_net_profit,win_rate,average_winner,average_loser,payoff_ratio,profit_factor,expectancy,largest_winner,largest_loser,maximum_consecutive_losses
PEP,1,45.670821906536105,1.0,45.670821906536105,,,,45.670821906536105,45.670821906536105,,0
PFE,1,14.882619425526347,1.0,14.882619425526347,,,,14.882619425526347,14.882619425526347,,0
POWL,1,-49.74197015132559,0.0,,-49.74197015132559,,0.0,-49.74197015132559,,-49.74197015132559,1
PYPL,1,12.015539288847936,1.0,12.015539288847936,,,,12.015539288847936,12.015539288847936,,0
RBLX,1,12.308270017413227,1.0,12.308270017413227,,,,12.308270017413227,12.308270017413227,,0
RL,1,-42.28092583328426,0.0,,-42.28092583328426,,0.0,-42.28092583328426,,-42.28092583328426,1
RTX,30,-209.3948996913751,0.3333333333333333,34.14354966797235,-27.541519818554935,1.2397118929133888,0.6198559464566945,-6.979829989712503,73.57919502689624,-52.116903858925035,11
SHEL,4,-164.0826222835865,0.0,,-41.02065557089662,,0.0,-41.02065557089662,,-41.02065557089662,4
SNOW,1,162.7662282719709,1.0,162.7662282719709,,,,162.7662282719709,162.7662282719709,,0
SPGI,1,-135.18947511139774,0.0,,-135.18947511139774,,0.0,-135.18947511139774,,-135.18947511139774,1
SSTK,1,-35.70782448224278,0.0,,-35.70782448224278,,0.0,-35.70782448224278,,-35.70782448224278,1
SUN,1,6.9758772597001695,1.0,6.9758772597001695,,,,6.9758772597001695,6.9758772597001695,,0
TSEM,1,-111.74097468532993,0.0,,-111.74097468532993,,0.0,-111.74097468532993,,-111.74097468532993,1
UBER,1,-38.64667734842814,0.0,,-38.64667734842814,,0.0,-38.64667734842814,,-38.64667734842814,1
UPS,1,3.35613926727208,1.0,3.35613926727208,,,,3.35613926727208,3.35613926727208,,0
URBN,1,-64.7306021342165,0.0,,-64.7306021342165,,0.0,-64.7306021342165,,-64.7306021342165,1
USFD,1,1.8570076660582293,1.0,1.8570076660582293,,,,1.8570076660582293,1.8570076660582293,,0
USO,16,1207.3424360652325,0.5,182.20319969171854,-31.28539518356448,5.823905967070458,5.823905967070458,75.45890225407703,272.31606831173696,-63.337109775465784,4
WFC,1,-10.728512289672132,0.0,,-10.728512289672132,,0.0,-10.728512289672132,,-10.728512289672132,1
XAR,1,-18.85096068895174,0.0,,-18.85096068895174,,0.0,-18.85096068895174,,-18.85096068895174,1
XLE,20,123.91950921729743,0.45,59.18470287398387,-37.15843787714159,1.592766172508882,1.3031723229618124,6.195975460864871,88.51652675269824,-43.184892203835716,11
XLF,1,4.019734273837369,1.0,4.019734273837369,,,,4.019734273837369,4.019734273837369,,0
XOM,7,-169.73959522856373,0.2857142857142857,26.019614836849435,-44.35576498045252,0.5866117932655702,0.2346447173062281,-24.248513604080532,38.20626105131866,-44.777779433159296,5
YUM,1,4.60496225368857,1.0,4.60496225368857,,,,4.60496225368857,4.60496225368857,,0
ZM,1,-62.105823335193456,0.0,,-62.105823335193456,,0.0,-62.105823335193456,,-62.105823335193456,1
