momentum_bucket,signal_count,opened_trade_count,average_momentum,total_signal_net_profit,average_opened_trade_net_profit
0-5%,16464,6000,-5.853668317990842e-06,-16046.417831700686,-2.6744029719501143
10%+,2616,1528,0.17017567329373998,-84194.32943503032,-55.101000939155966
5-10%,4824,2792,0.06813955202576218,-40480.73246768197,-14.498829680401851
