entry_year,trade_count,total_net_profit,win_rate,average_winner,average_loser,payoff_ratio,profit_factor,expectancy,largest_winner,largest_loser,maximum_consecutive_losses
2024,17,-396.3884824715094,0.17647058823529413,11.164754379114347,-30.705910400632316,0.3636027798376053,0.07791488139377256,-23.316969557147612,15.617588029828749,-63.53037674725779,11
2025,127,1739.1535734358215,0.5826771653543307,42.4190143505844,-26.412329971838187,1.6060307589604226,2.242382569114552,13.69412262547891,180.4335827661682,-152.01904031702392,14
2026,177,427.07627540334664,0.3954802259887006,70.00188033124375,-41.80425558676371,1.6745156527415388,1.0954775298309134,2.4128603130132578,617.923261740449,-135.18947511139774,15
