momentum_bucket,signal_count,opened_trade_count,average_momentum,total_signal_net_profit,average_opened_trade_net_profit
0-5%,16464,6000,-5.853668318004868e-06,-16046.41783170083,-2.6744029719501383
10%+,2616,1528,0.17017567329373912,-84194.32943503035,-55.10100093915599
5-10%,4824,2792,0.06813955202576219,-40480.73246768189,-14.498829680401823
