market_id,symbol,archetype,relevance,split,entry_date,entry_prob,entry_price,exit_date,exit_price,exit_reason,peak_pct,trough_pct,return_pct,_entry_ts,_exit_ts,_qty,_position_size_pct,_asset_entry_notional,_benchmark_sell_cost,_asset_buy_cost,realized_exit_reason,gross_pnl,pnl,pnl_pct,txn_cost,exit_value,benchmark_rebuy_qty
1986792,EFX,Equifax Earnings,0.95,test,2026-04-17,0.77,196.22,2026-04-21,192.42,resolution-1d,1.97,-5.13,-1.94,2026-04-17 00:00:00+00:00,2026-04-21 00:00:00+00:00,13,0.03,2550.86,1.72,1.63,resolution-1d,-49.4,-55.74,-2.185,6.34,2501.46,3
1986790,MSCI,MSCI Earnings,0.95,test,2026-04-17,0.77,568.55,2026-04-21,597.39,resolution-1d,0.33,-2.14,5.07,2026-04-17 00:00:00+00:00,2026-04-21 00:00:00+00:00,4,0.03,2274.2,1.72,1.49,resolution-1d,115.36,109.22,4.8027,6.14,2389.56,3
1993772,GRCE,Grace Therapeutics FDA Approval,1.0,test,2026-04-21,0.805,4.66,2026-04-22,4.31,resolution-1d,0.0,-11.59,-7.51,2026-04-21 00:00:00+00:00,2026-04-22 00:00:00+00:00,552,0.03,2572.32,1.71,3.22,resolution-1d,-193.2,-202.65,-7.8781,9.45,2379.12,3
1937071,DOW,Dow Earnings,1.0,test,2026-04-13,0.765,40.11,2026-04-23,38.53,resolution-1d,0.0,-13.24,-3.94,2026-04-13 00:00:00+00:00,2026-04-23 00:00:00+00:00,61,0.03,2446.71,1.65,1.57,resolution-1d,-96.38,-102.52,-4.19,6.14,2350.33,3
1937074,STBA,S&T Bancorp Earnings,1.0,test,2026-04-14,0.805,43.87,2026-04-23,43.54,resolution-1d,2.28,-2.85,-0.75,2026-04-14 00:00:00+00:00,2026-04-23 00:00:00+00:00,57,0.03,2500.59,1.68,1.6,resolution-1d,-18.81,-25.08,-1.0028,6.27,2481.78,3
1937068,HON,Honeywell International Earnings,1.0,test,2026-04-16,0.865,229.38,2026-04-23,214.34,resolution-1d,3.08,-9.39,-6.56,2026-04-16 00:00:00+00:00,2026-04-23 00:00:00+00:00,11,0.03,2523.18,1.7,1.61,resolution-1d,-165.44,-171.67,-6.8038,6.23,2357.74,3
1971815,VZ,Verizon Earnings,1.0,test,2026-04-14,0.865,45.48,2026-04-27,47.1,resolution-1d,4.49,-2.66,3.56,2026-04-14 00:00:00+00:00,2026-04-27 00:00:00+00:00,55,0.03,2501.4,1.68,1.6,resolution-1d,89.1,82.76,3.3084,6.34,2590.5,3
1986800,NXPI,NXP Semiconductors Earnings,1.0,test,2026-04-17,0.77,216.03,2026-04-28,230.39,resolution-1d,13.5,-2.67,6.65,2026-04-17 00:00:00+00:00,2026-04-28 00:00:00+00:00,11,0.03,2376.33,1.72,1.54,resolution-1d,157.96,151.68,6.3828,6.28,2534.29,3
1986797,KO,Coca-Cola Earnings,0.98,test,2026-04-17,0.77,75.74,2026-04-28,78.35,resolution-1d,1.68,-1.57,3.45,2026-04-17 00:00:00+00:00,2026-04-28 00:00:00+00:00,34,0.03,2575.16,1.72,1.64,resolution-1d,88.74,81.96,3.1827,6.78,2663.9,4
1986798,BP,BP Earnings,0.95,test,2026-04-17,0.77,44.59,2026-04-28,46.35,resolution-1d,5.32,-2.8,3.95,2026-04-17 00:00:00+00:00,2026-04-28 00:00:00+00:00,58,0.03,2586.22,1.72,1.64,resolution-1d,102.08,95.29,3.6844,6.79,2688.3,4
2003522,SPGI,S&P Global Earnings,0.95,test,2026-04-23,0.882,439.03,2026-04-28,433.47,poly<0.5583932768240814,0.6,-1.37,-1.27,2026-04-23 00:00:00+00:00,2026-04-28 00:00:00+00:00,10,0.04709961365158442,4390.3,2.76,2.55,poly<0.5583932768240814,-55.6,-65.87,-1.5004,10.27,4334.7,6
1986801,SYY,Sysco Earnings,1.0,test,2026-04-24,0.915,76.56,2026-04-28,73.37,resolution-1d,0.22,-6.53,-4.17,2026-04-24 00:00:00+00:00,2026-04-28 00:00:00+00:00,60,0.04709961365158442,4593.6,2.8,2.65,resolution-1d,-191.4,-201.85,-4.3941,10.45,4402.2,6
2003541,WING,Wingstop Earnings,0.95,test,2026-04-27,0.88,177.73,2026-04-29,171.21,resolution-1d,0.77,-17.02,-3.67,2026-04-27 00:00:00+00:00,2026-04-29 00:00:00+00:00,67,0.11289286613094227,11907.91,6.66,6.3,resolution-1d,-436.84,-462.18,-3.8813,25.34,11471.07,17
2003557,MRK,Merck Earnings,0.98,test,2026-04-17,0.77,119.07,2026-04-30,109.18,resolution-1d,0.24,-9.38,-8.31,2026-04-17 00:00:00+00:00,2026-04-30 00:00:00+00:00,21,0.03,2500.47,1.72,1.6,resolution-1d,-207.69,-213.92,-8.5553,6.23,2292.78,3
2003561,RDDT,Reddit Earnings,0.95,test,2026-04-21,0.915,156.82,2026-04-30,147.23,resolution-1d,4.84,-8.76,-6.12,2026-04-21 00:00:00+00:00,2026-04-30 00:00:00+00:00,16,0.03,2509.12,1.71,1.6,resolution-1d,-153.44,-159.69,-6.3646,6.25,2355.68,3
2003560,RBLX,Roblox Earnings,0.95,test,2026-04-24,0.835,56.09,2026-04-30,55.26,resolution-1d,4.99,-6.19,-1.48,2026-04-24 00:00:00+00:00,2026-04-30 00:00:00+00:00,82,0.04709961365158442,4599.38,2.8,2.65,resolution-1d,-68.06,-78.6,-1.709,10.54,4531.32,6
2003565,DLB,Dolby Laboratories Earnings,0.95,test,2026-04-24,0.905,64.08,2026-04-30,64.14,resolution-1d,0.98,-2.79,0.09,2026-04-24 00:00:00+00:00,2026-04-30 00:00:00+00:00,72,0.04709961365158442,4613.76,2.8,2.66,resolution-1d,4.32,-6.28,-0.1361,10.6,4618.08,6
2036695,AXSM,Axsome Therapeutics FDA Approval,1.0,test,2026-04-29,0.794,183.95,2026-04-30,207.75,resolution-1d,0.0,-2.15,12.94,2026-04-29 00:00:00+00:00,2026-04-30 00:00:00+00:00,79,0.13813685342303442,14532.05,8.03,7.62,resolution-1d,1880.2,1847.17,12.711,33.03,16412.25,24
2039911,CBOE,Cboe Global Markets Earnings,1.0,test,2026-04-28,0.84,303.64,2026-05-01,326.96,resolution-1d,1.4,-1.56,7.68,2026-04-28 00:00:00+00:00,2026-05-01 00:00:00+00:00,43,0.12659370213037607,13056.52,7.29,6.88,resolution-1d,1002.76,973.73,7.4578,29.03,14059.28,20
2039909,PIPR,Piper Sandler Earnings,1.0,test,2026-04-29,0.782,86.38,2026-05-01,79.42,resolution-1d,1.18,-8.16,-8.06,2026-04-29 00:00:00+00:00,2026-05-01 00:00:00+00:00,168,0.13813685342303442,14511.84,8.03,7.84,resolution-1d,-1169.28,-1199.53,-8.2659,30.25,13342.56,19
2048138,POWL,Powell Industries Earnings,1.0,test,2026-04-30,0.935,277.27,2026-05-04,269.95,resolution-1d,2.19,-6.85,-2.64,2026-04-30 00:00:00+00:00,2026-05-04 00:00:00+00:00,24,0.06572070961868301,6654.48,3.87,3.68,resolution-1d,-175.68,-190.38,-2.8609,14.7,6478.8,9
2048144,PFE,Pfizer Earnings,1.0,test,2026-04-29,0.755,26.26,2026-05-05,26.45,resolution-1d,2.48,-0.95,0.72,2026-04-29 00:00:00+00:00,2026-05-05 00:00:00+00:00,553,0.13813685342303442,14521.78,8.03,9.2,resolution-1d,105.07,70.68,0.4867,34.39,14626.85,21
2115652,ARGX,argenx Vyvgart FDA Approval,0.9,test,2026-04-30,0.795,781.72,2026-05-05,805.17,profit_lock_3%,3.82,-0.86,3.0,2026-04-30 00:00:00+00:00,2026-05-05 00:00:00+00:00,8,0.06572070961868301,6253.76,3.87,3.48,profit_lock_3%,187.6,173.08,2.7677,14.52,6441.36,9
2062013,CVS,CVS Health Earnings,1.0,test,2026-04-28,0.735,80.98,2026-05-06,86.86,resolution-1d,3.64,-2.4,7.26,2026-04-28 00:00:00+00:00,2026-05-06 00:00:00+00:00,162,0.12659370213037607,13118.76,7.29,7.13,resolution-1d,952.56,922.84,7.0345,29.72,14071.32,20
2062016,AMC,AMC Entertainment Earnings,1.0,test,2026-05-01,0.9,1.45,2026-05-06,1.64,poly<0.5583932768240814,12.41,-2.76,13.1,2026-05-01 00:00:00+00:00,2026-05-06 00:00:00+00:00,5096,0.07460729173096786,7389.2,4.26,21.53,poly<0.5583932768240814,968.24,916.03,12.3968,52.21,8357.44,11
2062061,NET,Cloudflare Earnings,1.0,test,2026-04-28,0.845,208.5,2026-05-07,256.79,resolution-1d,20.37,-4.24,23.16,2026-04-28 00:00:00+00:00,2026-05-07 00:00:00+00:00,63,0.12659370213037607,13135.5,7.29,6.92,resolution-1d,3042.27,3010.83,22.9213,31.44,16177.77,23
2110072,TOST,Toast Earnings,0.95,test,2026-04-30,0.785,28.52,2026-05-07,29.38,resolution-1d,6.45,-2.38,3.02,2026-04-30 00:00:00+00:00,2026-05-07 00:00:00+00:00,140,0.06572070961868301,3992.8,2.46,2.49,resolution-1d,120.4,110.7,2.7725,9.7,4113.2,5
2062074,WEN,Wendy's Earnings,1.0,test,2026-05-04,0.735,6.54,2026-05-08,7.3,resolution-1d,6.73,-2.6,11.62,2026-05-04 00:00:00+00:00,2026-05-08 00:00:00+00:00,616,0.04060272523651748,4028.64,2.48,4.17,resolution-1d,468.16,454.5,11.2816,13.66,4496.8,6
2168995,SPCE,Virgin Galactic Earnings,0.95,test,2026-05-06,0.89,2.66,2026-05-08,2.94,poly<0.5583932768240814,0.0,-7.52,10.53,2026-05-06 00:00:00+00:00,2026-05-08 00:00:00+00:00,3914,0.09303505312130594,10411.24,5.86,18.9,poly<0.5583932768240814,1095.92,1045.35,10.0406,50.57,11507.16,16
2110077,ACM,AECOM Earnings,0.95,test,2026-04-30,0.765,84.1,2026-05-11,79.5,resolution-1d,2.05,-5.89,-5.47,2026-04-30 00:00:00+00:00,2026-05-11 00:00:00+00:00,79,0.06572070961868301,6643.9,3.87,3.67,resolution-1d,-363.4,-377.81,-5.6865,14.41,6280.5,8
2129328,AMAT,Applied Materials Earnings,0.98,test,2026-05-04,0.91,391.38,2026-05-14,440.56,resolution-1d,14.58,-1.46,12.57,2026-05-04 00:00:00+00:00,2026-05-14 00:00:00+00:00,10,0.04060272523651748,3913.8,2.48,2.31,resolution-1d,491.8,481.83,12.3109,9.97,4405.6,6
2168996,GAMB,Gambling.com Earnings,0.9,test,2026-05-06,0.85,4.12,2026-05-14,4.14,resolution-1d,33.5,-4.59,0.49,2026-05-06 00:00:00+00:00,2026-05-14 00:00:00+00:00,2528,0.09303505312130594,10415.36,5.86,14.06,resolution-1d,50.56,10.88,0.1045,39.68,10465.92,14
2115679,AZN,AstraZeneca & Daiichi Sankyo Enhertu FDA Approval,0.72,test,2026-04-30,0.76,187.37,2026-05-18,183.92,resolution-1d,0.22,-3.93,-1.84,2026-04-30 00:00:00+00:00,2026-05-18 00:00:00+00:00,35,0.06572070961868301,6557.95,3.87,3.63,resolution-1d,-120.75,-135.52,-2.0666,14.77,6437.2,9
2168999,AS,Amer Sports Earnings,0.95,test,2026-05-06,0.845,37.19,2026-05-19,33.83,resolution-1d,0.43,-12.41,-9.03,2026-05-06 00:00:00+00:00,2026-05-19 00:00:00+00:00,280,0.09303505312130594,10413.2,5.86,6.19,resolution-1d,-940.8,-963.74,-9.255,22.94,9472.4,13
2186403,LOW,Lowe's Earnings,1.0,test,2026-05-12,0.915,224.52,2026-05-20,221.05,resolution-1d,0.0,-7.36,-1.55,2026-05-12 00:00:00+00:00,2026-05-20 00:00:00+00:00,50,0.10297824806821806,11226.0,6.32,5.96,resolution-1d,-173.5,-197.66,-1.7608,24.16,11052.5,15
2186404,URBN,Urban Outfitters Earnings,0.9,test,2026-05-12,0.855,67.01,2026-05-20,71.67,resolution-1d,4.61,-3.4,6.95,2026-05-12 00:00:00+00:00,2026-05-20 00:00:00+00:00,168,0.10297824806821806,11257.68,6.32,6.22,resolution-1d,782.88,757.34,6.7273,25.54,12040.56,16
