holding_days_bucket,trade_count,total_net_profit,win_rate,average_winner,average_loser,payoff_ratio,profit_factor,expectancy,largest_winner,largest_loser,maximum_consecutive_losses
0-1,13,-487.0992418756746,0.15384615384615385,11.701608928335105,-46.409314521122255,0.25213923215800477,0.045843496756000864,-37.46917245197497,12.316102223258776,-111.74097468532993,9
11-20,51,351.88959214173354,0.5490196078431373,44.063684908279335,-38.3431993604386,1.1491916596230352,1.39901593345413,6.899795924347717,180.4335827661682,-90.60450819749845,7
2-5,115,-1615.8775943875062,0.3391304347826087,16.27296109585486,-29.612145751655863,0.5495367080902911,0.2819991002042283,-14.051109516413097,52.71503482512235,-105.24587162021872,38
21+,35,1680.927133635119,0.6285714285714286,96.9428322687731,-34.755013559837636,2.7893193625681323,4.720386613576839,48.02648953243197,335.2677525133057,-48.15330908433443,6
6-10,104,478.55077861573244,0.41346153846153844,50.62287023704629,-27.839879370118986,1.8183581029226972,1.28179341681436,4.6014497943820425,321.88189402944045,-135.18947511139774,16
