calibration_id,task,model_name,tested_sizes,selected_batch_size,created_at
4e6ea65d-363d-40c6-a67d-2318748a06e3,event_filter,llama3:latest,"[{""size"": 1, ""valid"": true, ""output_count"": 1, ""duration_seconds"": 5.46176320000086, ""output_size_bytes"": 223}, {""size"": 2, ""valid"": true, ""output_count"": 2, ""duration_seconds"": 1.7036787000251934, ""output_size_bytes"": 316}, {""size"": 4, ""valid"": true, ""output_count"": 4, ""duration_seconds"": 3.247295800014399, ""output_size_bytes"": 741}, {""size"": 8, ""valid"": true, ""output_count"": 8, ""duration_seconds"": 5.87484589999076, ""output_size_bytes"": 1480}, {""size"": 15, ""valid"": true, ""output_count"": 15, ""duration_seconds"": 11.303742600022815, ""output_size_bytes"": 2938}]",15,2026-06-07 08:37:06.481659+00:00
4b43ffe7-6f96-4f96-a767-3a00c7c8f8ed,asset_world,llama3:latest,"[{""size"": 1, ""valid"": true, ""output_count"": 1, ""duration_seconds"": 4.752194499946199, ""output_size_bytes"": 1135}, {""size"": 2, ""valid"": true, ""output_count"": 2, ""duration_seconds"": 10.647099900059402, ""output_size_bytes"": 2716}, {""size"": 3, ""valid"": true, ""output_count"": 3, ""duration_seconds"": 12.645987099967897, ""output_size_bytes"": 2866}, {""size"": 4, ""valid"": true, ""output_count"": 4, ""duration_seconds"": 19.977939900010824, ""output_size_bytes"": 4707}]",4,2026-06-07 08:37:54.915907+00:00
