variant,overall_net,ml_net,counterfactual_long_only_net,classification_accuracy,overall_trades,ml_trades,momentum_trades,overall_win_rate,ml_win_rate,overall_profit_factor,elapsed_seconds,run_id,overrides,momentum_net
baseline,883.3253004851613,905.7401633197918,-1165.1325488112916,0.4406481155336386,335,268,67,0.417910447761194,0.4216417910447761,1.1427424469988559,2539.3,16807cbf-6af5-4714-b901-36b936c4e892,{},-22.414862834630544
query_window_features,1134.8820650370587,1157.2969278716891,-1165.1325488112916,0.45332863684395913,321,254,67,0.4236760124610592,0.42913385826771655,1.1948655483972346,2596.3,482fa15d-6a04-4adf-b5e9-3818d05f95b9,"{""ml_use_query_window_features"": true}",-22.414862834630544
query_window_plus_winners,2232.848797799317,2145.9080783741715,-8021.471713020386,0.4216273335681578,334,268,66,0.47305389221556887,0.48880597014925375,1.3953052424682915,2596.3,38610cdf-0681-444b-afdb-0b6b5edd6ffc,"{""ml_use_query_window_features"": true, ""ml_stop_loss_pct"": 0.05, ""probability_exit_mode"": ""immediate_band"", ""probability_exit_band"": 0.45, ""ml_direction_mode"": ""regression_sign""}",86.9407194251453
