market_id,symbol,archetype,relevance,split,entry_date,entry_prob,entry_price,exit_date,exit_price,exit_reason,peak_pct,trough_pct,return_pct,_candidate_id,_entry_ts,_exit_ts,pred,pred_decimal,_qty,_position_size_pct,_max_concurrent,_asset_entry_notional,_benchmark_sell_cost,_asset_buy_cost,estimated_round_trip_cost,expected_edge_dollars,realized_exit_reason,gross_pnl,pnl,pnl_pct,txn_cost,exit_value,benchmark_rebuy_qty,active_position_size_pct,active_max_concurrent
1986791,MMM,3M Earnings,1.0,test,2026-04-17,0.86,154.55,2026-04-21,148.47,resolution-1d,0.25,-4.98,-3.93,823,2026-04-17 00:00:00+00:00,2026-04-21 00:00:00+00:00,0.5537123157400932,0.005537123157400931,18,0.03130747400103335,15,2781.9,1.85,1.74,,,resolution-1d,-109.44,-116.2,-4.176881,6.76,2672.46,3,3.130747,15
1937066,AXP,American Express Earnings,1.0,test,2026-04-16,0.79,325.76,2026-04-23,318.55,resolution-1d,4.37,-3.38,-2.21,812,2026-04-16 00:00:00+00:00,2026-04-23 00:00:00+00:00,0.2868403577129567,0.0028684035771295666,8,0.03130747400103335,15,2606.08,1.83,1.65,,,resolution-1d,-57.68,-64.27,-2.466069,6.59,2548.4,3,3.130747,15
2036597,MRK,Merck FDA Approval,1.0,test,2026-04-21,0.805,112.56,2026-04-27,110.36,trailing_1.5ATR,2.19,-2.15,-1.96,865,2026-04-21 00:00:00+00:00,2026-04-27 00:00:00+00:00,0.3692120926075525,0.003692120926075525,24,0.03130747400103335,15,2701.44,1.84,1.7,,,trailing_1.5ATR,-52.8,-59.51,-2.202925,6.71,2648.64,3,3.130747,15
1986798,BP,BP Earnings,0.95,test,2026-04-22,0.82,46.37,2026-04-28,46.35,resolution-1d,1.27,-1.01,-0.04,831,2026-04-22 00:00:00+00:00,2026-04-28 00:00:00+00:00,0.7222908851748564,0.007222908851748564,61,0.03130747400103335,15,2828.57,1.85,1.76,,,resolution-1d,-1.22,-8.09,-0.286004,6.87,2827.35,3,3.130747,15
1986801,SYY,Sysco Earnings,1.0,test,2026-04-23,0.915,75.81,2026-04-28,73.37,resolution-1d,1.35,-5.61,-3.22,1061,2026-04-23 00:00:00+00:00,2026-04-28 00:00:00+00:00,2.4603547261294123,0.02460354726129412,37,0.03130747400103335,15,2804.97,1.85,1.75,,,resolution-1d,-90.28,-97.08,-3.461012,6.8,2714.69,3,3.130747,15
2003559,CI,Cigna Earnings,0.98,test,2026-04-22,0.855,274.7,2026-04-29,292.32,end_of_window,6.76,-0.86,6.41,833,2026-04-22 00:00:00+00:00,2026-04-29 00:00:00+00:00,0.42230514467820235,0.004223051446782023,10,0.03130747400103335,15,2747.0,1.85,1.72,,,end_of_window,176.2,168.96,6.150855,7.24,2923.2,4,3.130747,15
