market_id,symbol,archetype,relevance,split,entry_date,entry_prob,entry_price,exit_date,exit_price,exit_reason,peak_pct,trough_pct,return_pct,_candidate_id,_entry_ts,_exit_ts,pred,pred_decimal,_qty,_position_size_pct,_max_concurrent,_asset_entry_notional,_benchmark_sell_cost,_asset_buy_cost,estimated_round_trip_cost,expected_edge_dollars,realized_exit_reason,gross_pnl,pnl,pnl_pct,txn_cost,exit_value,benchmark_rebuy_qty,active_position_size_pct,active_max_concurrent
1986791,MMM,3M Earnings,1.0,test,2026-04-17,0.86,154.55,2026-04-21,148.47,resolution-1d,0.25,-4.98,-3.93,823,2026-04-17 00:00:00+00:00,2026-04-21 00:00:00+00:00,1.7767838282771624,0.017767838282771623,18,0.03,12,2781.9,1.85,1.74,,,resolution-1d,-109.44,-116.2,-4.176881,6.76,2672.46,3,3.0,12
1986792,EFX,Equifax Earnings,0.95,test,2026-04-20,0.875,198.45,2026-04-21,192.42,resolution-1d,0.0,-6.19,-3.04,829,2026-04-20 00:00:00+00:00,2026-04-21 00:00:00+00:00,2.840578780244064,0.02840578780244064,14,0.03,12,2778.3,1.85,1.74,,,resolution-1d,-84.42,-91.19,-3.282149,6.77,2693.88,3,3.0,12
1993772,GRCE,Grace Therapeutics FDA Approval,1.0,test,2026-04-21,0.805,4.66,2026-04-22,4.31,resolution-1d,0.0,-11.59,-7.51,1062,2026-04-21 00:00:00+00:00,2026-04-22 00:00:00+00:00,0.6700978315200485,0.006700978315200485,603,0.03,12,2809.98,1.84,3.52,,,resolution-1d,-211.05,-221.31,-7.875822,10.26,2598.93,3,3.0,12
2036554,SNY,Sanofi FDA Approval Dupixent,0.7,test,2026-04-24,1.0,46.78,2026-04-27,45.9,resolution-1d,0.0,-1.95,-1.88,866,2026-04-24 00:00:00+00:00,2026-04-27 00:00:00+00:00,0.04396303368187855,0.0004396303368187855,60,0.03,12,2806.8,1.86,1.75,,,resolution-1d,-52.8,-59.64,-2.124708,6.84,2754.0,3,3.0,12
1986797,KO,Coca-Cola Earnings,0.98,test,2026-04-20,0.91,75.48,2026-04-28,78.35,resolution-1d,2.03,-1.23,3.8,826,2026-04-20 00:00:00+00:00,2026-04-28 00:00:00+00:00,0.1547875093007725,0.001547875093007725,37,0.03,12,2792.76,1.85,1.75,,,resolution-1d,106.19,98.94,3.542609,7.25,2898.95,4,3.0,12
1986801,SYY,Sysco Earnings,1.0,test,2026-04-24,0.915,76.56,2026-04-28,73.37,resolution-1d,0.22,-6.53,-4.17,1061,2026-04-24 00:00:00+00:00,2026-04-28 00:00:00+00:00,2.3712199368020035,0.023712199368020034,37,0.03,12,2832.72,1.86,1.77,,,resolution-1d,-118.03,-124.86,-4.40779,6.83,2714.69,3,3.0,12
2003557,MRK,Merck Earnings,0.98,test,2026-04-20,0.835,117.1,2026-04-29,110.95,end_of_window,0.0,-7.86,-5.25,827,2026-04-20 00:00:00+00:00,2026-04-29 00:00:00+00:00,0.19770998355164285,0.0019770998355164286,24,0.03,12,2810.4,1.85,1.76,,,end_of_window,-147.6,-154.38,-5.493268,6.78,2662.8,3,3.0,12
