market_id,symbol,archetype,relevance,split,entry_date,entry_prob,entry_price,exit_date,exit_price,exit_reason,peak_pct,trough_pct,return_pct,_candidate_id,_entry_ts,_exit_ts,pred,pred_decimal,_qty,_position_size_pct,_max_concurrent,_asset_entry_notional,_benchmark_sell_cost,_asset_buy_cost,estimated_round_trip_cost,expected_edge_dollars,realized_exit_reason,gross_pnl,pnl,pnl_pct,txn_cost,exit_value,benchmark_rebuy_qty,active_position_size_pct,active_max_concurrent
1986791,MMM,3M Earnings,1.0,test,2026-04-17,0.86,154.55,2026-04-21,148.47,resolution-1d,0.25,-4.98,-3.93,823,2026-04-17 00:00:00+00:00,2026-04-21 00:00:00+00:00,5.266488229607084,0.052664882296070845,58,0.09143264892733155,12,8963.9,5.14,4.83,19.6251,472.0827,resolution-1d,-352.64,-372.04,-4.150461,19.4,8611.26,13,9.143265,12
1971815,VZ,Verizon Earnings,1.0,test,2026-04-14,0.865,45.48,2026-04-27,47.1,resolution-1d,4.49,-2.66,3.56,817,2026-04-14 00:00:00+00:00,2026-04-27 00:00:00+00:00,2.2256598752816057,0.02225659875281606,193,0.09143264892733155,12,8777.64,4.99,5.06,19.8034,195.3604,resolution-1d,312.66,292.47,3.331979,20.19,9090.3,13,9.143265,12
2036597,MRK,Merck FDA Approval,1.0,test,2026-04-21,0.805,112.56,2026-04-27,110.23,resolution-1d,2.19,-2.15,-2.07,865,2026-04-21 00:00:00+00:00,2026-04-27 00:00:00+00:00,1.2450447088342658,0.012450447088342658,80,0.09143264892733155,12,9004.8,5.11,4.85,19.6044,112.1138,resolution-1d,-186.4,-206.03,-2.288022,19.63,8818.4,13,9.143265,12
1986798,BP,BP Earnings,0.95,test,2026-04-17,0.77,44.59,2026-04-28,46.35,resolution-1d,5.32,-2.8,3.95,831,2026-04-17 00:00:00+00:00,2026-04-28 00:00:00+00:00,1.2997899800581985,0.012997899800581985,203,0.09143264892733155,12,9051.77,5.14,5.24,20.4364,117.654,resolution-1d,357.28,336.27,3.71497,21.01,9409.05,14,9.143265,12
1986801,SYY,Sysco Earnings,1.0,test,2026-04-24,0.915,76.56,2026-04-28,73.37,resolution-1d,0.22,-6.53,-4.17,1061,2026-04-24 00:00:00+00:00,2026-04-28 00:00:00+00:00,3.542412192438037,0.035424121924380374,121,0.09143264892733155,12,9263.76,5.26,5.06,20.2891,328.1606,resolution-1d,-385.99,-406.04,-4.383137,20.05,8877.77,13,9.143265,12
2003560,RBLX,Roblox Earnings,0.95,test,2026-04-22,0.835,59.64,2026-04-29,56.28,end_of_window,0.0,-11.77,-5.63,834,2026-04-22 00:00:00+00:00,2026-04-29 00:00:00+00:00,2.6085717827594004,0.026085717827594005,153,0.09143264892733155,12,9124.92,5.19,5.1,20.2485,238.0301,end_of_window,-514.08,-534.1,-5.853208,20.02,8610.84,13,9.143265,12
