market_id,symbol,archetype,relevance,split,entry_date,entry_prob,entry_price,exit_date,exit_price,exit_reason,peak_pct,trough_pct,return_pct,_candidate_id,_entry_ts,_exit_ts,pred,pred_decimal,_qty,_position_size_pct,_max_concurrent,_asset_entry_notional,_benchmark_sell_cost,_asset_buy_cost,estimated_round_trip_cost,expected_edge_dollars,realized_exit_reason,gross_pnl,pnl,pnl_pct,txn_cost,exit_value,benchmark_rebuy_qty,active_position_size_pct,active_max_concurrent
1986791,MMM,3M Earnings,1.0,test,2026-04-17,0.86,154.55,2026-04-21,148.47,resolution-1d,0.25,-4.98,-3.93,823,2026-04-17 00:00:00+00:00,2026-04-21 00:00:00+00:00,3.9062977214163057,0.039062977214163054,41,0.06316661047425962,13,6336.55,3.77,3.52,,,resolution-1d,-249.28,-263.38,-4.156558,14.1,6087.27,9,6.316661,13
1986792,EFX,Equifax Earnings,0.95,test,2026-04-20,0.875,198.45,2026-04-21,192.42,resolution-1d,0.0,-6.19,-3.04,829,2026-04-20 00:00:00+00:00,2026-04-21 00:00:00+00:00,0.7126585422444387,0.007126585422444387,32,0.06316661047425962,13,6350.4,3.76,3.53,,,resolution-1d,-192.96,-207.1,-3.261202,14.14,6157.44,9,6.316661,13
1921503,T,AT&T Earnings,0.95,test,2026-04-13,0.87,25.61,2026-04-22,25.98,resolution-1d,4.18,-2.62,1.44,12,2026-04-13 00:00:00+00:00,2026-04-22 00:00:00+00:00,1.9403022015484168,0.01940302201548417,240,0.06316661047425962,13,6146.4,3.61,3.91,,,resolution-1d,88.8,73.85,1.201534,14.95,6235.2,9,6.316661,13
1921506,GD,General Dynamics Earnings,0.95,test,2026-04-16,0.875,334.92,2026-04-22,320.74,resolution-1d,1.1,-5.16,-4.23,802,2026-04-16 00:00:00+00:00,2026-04-22 00:00:00+00:00,1.0605797211184251,0.01060579721118425,19,0.06316661047425962,13,6363.48,3.73,3.53,,,resolution-1d,-269.42,-283.54,-4.455808,14.12,6094.06,9,6.316661,13
1993856,SNY,Sanofi FDA Approval,0.765,test,2026-04-21,0.91,47.13,2026-04-22,46.9,poly<0.5256781353231951,0.0,-0.59,-0.49,1064,2026-04-21 00:00:00+00:00,2026-04-22 00:00:00+00:00,0.5466683439353828,0.005466683439353828,136,0.06316661047425962,13,6409.68,3.75,3.68,,,poly<0.5256781353231951,-31.28,-45.85,-0.715332,14.57,6378.4,9,6.316661,13
1971815,VZ,Verizon Earnings,1.0,test,2026-04-14,0.865,45.48,2026-04-27,47.1,resolution-1d,4.49,-2.66,3.56,817,2026-04-14 00:00:00+00:00,2026-04-27 00:00:00+00:00,2.1628943575066155,0.021628943575066156,138,0.06316661047425962,13,6276.24,3.67,3.62,,,resolution-1d,223.56,209.02,3.330296,14.54,6499.8,9,6.316661,13
1986797,KO,Coca-Cola Earnings,0.98,test,2026-04-20,0.91,75.48,2026-04-28,78.35,resolution-1d,2.03,-1.23,3.8,826,2026-04-20 00:00:00+00:00,2026-04-28 00:00:00+00:00,0.3984959574109173,0.003984959574109173,85,0.06316661047425962,13,6415.8,3.76,3.56,,,resolution-1d,243.95,229.13,3.571296,14.82,6659.75,10,6.316661,13
1986801,SYY,Sysco Earnings,1.0,test,2026-04-24,0.915,76.56,2026-04-28,73.37,resolution-1d,0.22,-6.53,-4.17,1061,2026-04-24 00:00:00+00:00,2026-04-28 00:00:00+00:00,2.8215176754465174,0.028215176754465176,86,0.06316661047425962,13,6584.16,3.85,3.64,,,resolution-1d,-274.34,-288.82,-4.386578,14.48,6309.82,9,6.316661,13
1986798,BP,BP Earnings,0.95,test,2026-04-24,0.9,46.25,2026-04-28,46.35,resolution-1d,1.54,-0.76,0.22,831,2026-04-24 00:00:00+00:00,2026-04-28 00:00:00+00:00,1.4641212017847178,0.014641212017847178,143,0.06316661047425962,13,6613.75,3.85,3.81,,,resolution-1d,14.3,-1.0,-0.015068,15.3,6628.05,10,6.316661,13
2003557,MRK,Merck Earnings,0.98,test,2026-04-20,0.835,117.1,2026-04-29,110.95,end_of_window,0.0,-7.86,-5.25,827,2026-04-20 00:00:00+00:00,2026-04-29 00:00:00+00:00,0.06770833748076922,0.0006770833748076922,55,0.06316661047425962,13,6440.5,3.76,3.57,,,end_of_window,-338.25,-352.48,-5.472833,14.23,6102.25,9,6.316661,13
2003526,VIRT,Virtu Financial Earnings,0.95,test,2026-04-22,0.92,48.25,2026-04-29,50.82,resolution-1d,1.97,-2.88,5.33,845,2026-04-22 00:00:00+00:00,2026-04-29 00:00:00+00:00,3.462838746908456,0.03462838746908456,135,0.06316661047425962,13,6513.75,3.81,3.73,,,resolution-1d,346.95,331.66,5.091669,15.29,6860.7,10,6.316661,13
2003560,RBLX,Roblox Earnings,0.95,test,2026-04-23,0.835,55.45,2026-04-29,56.28,end_of_window,6.2,-5.1,1.5,834,2026-04-23 00:00:00+00:00,2026-04-29 00:00:00+00:00,1.8468677184452371,0.018468677184452373,117,0.06316661047425962,13,6487.65,3.79,3.65,,,end_of_window,97.11,82.46,1.270999,14.65,6584.76,9,6.316661,13
