run_id,original_symbol,resolved_symbol,official_symbol,security_name,exchange,is_etf,match_method,rejection_reason,updated_at
5fb1a1cd-7513-4085-a0c4-499d66c205ab,ATO,ATO,ATO,Atmos Energy Corporation Common Stock,NYSE,False,exact_symbol,,2026-06-25 07:20:24.749357+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,AXP,AXP,AXP,American Express Company Common Stock,NYSE,False,exact_symbol,,2026-06-25 07:20:24.758308+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,AXSM,AXSM,AXSM,"Axsome Therapeutics, Inc. - Common Stock",NASDAQ,False,exact_symbol,,2026-06-25 07:20:24.766417+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,AZO,AZO,AZO,"AutoZone, Inc. Common Stock",NYSE,False,exact_symbol,,2026-06-25 07:20:24.776322+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,AZZ,AZZ,AZZ,AZZ Inc.,NYSE,False,exact_symbol,,2026-06-25 07:20:24.787588+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,BA,BA,BA,Boeing Company (The) Common Stock,NYSE,False,exact_symbol,,2026-06-25 07:20:24.796316+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,BABA,BABA,BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share,NYSE,False,exact_symbol,,2026-06-25 07:20:24.804373+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,BAC,BAC,BAC,Bank of America Corporation Common Stock,NYSE,False,exact_symbol,,2026-06-25 07:20:24.814226+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,BBBY,BBBY,BBBY,"Bed Bath & Beyond, Inc. Common Stock",NYSE,False,exact_symbol,,2026-06-25 07:20:24.824306+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,BBW,BBW,BBW,"Build-A-Bear Workshop, Inc. Common Stock",NYSE,False,exact_symbol,,2026-06-25 07:20:24.834321+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,BBWI,BBWI,BBWI,"Bath & Body Works, Inc.",NYSE,False,exact_symbol,,2026-06-25 07:20:24.842318+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,BBY,BBY,BBY,"Best Buy Co., Inc. Common Stock",NYSE,False,exact_symbol,,2026-06-25 07:20:24.854324+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,BEN,BEN,BEN,"Franklin Resources, Inc. Common Stock",NYSE,False,exact_symbol,,2026-06-25 07:20:24.860366+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,BFC,BFC,BFC,Bank First Corporation - Common Stock,NASDAQ,False,exact_symbol,,2026-06-25 07:20:24.868955+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,BGC,BGC,BGC,"BGC Group, Inc. - Class A Common Stock",NASDAQ,False,exact_symbol,,2026-06-25 07:20:24.876412+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,BIIB,BIIB,BIIB,Biogen Inc. - Common Stock,NASDAQ,False,exact_symbol,,2026-06-25 07:20:24.886298+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,BIRD,BIRD,BIRD,"Allbirds, Inc. - Class A Common Stock",NASDAQ,False,exact_symbol,,2026-06-25 07:20:24.897184+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,BJ,BJ,BJ,"BJ's Wholesale Club Holdings, Inc. Common Stock",NYSE,False,exact_symbol,,2026-06-25 07:20:24.904321+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,BKNG,BKNG,BKNG,Booking Holdings Inc. - Common Stock,NASDAQ,False,exact_symbol,,2026-06-25 07:20:24.912351+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,BLK,BLK,BLK,"BlackRock, Inc. Common Stock",NYSE,False,exact_symbol,,2026-06-25 07:20:24.924234+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,BLSH,BLSH,BLSH,Bullish Ordinary Shares,NYSE,False,exact_symbol,,2026-06-25 07:20:24.934316+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,BMBL,BMBL,BMBL,Bumble Inc. - common stock,NASDAQ,False,exact_symbol,,2026-06-25 07:20:24.942580+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,BNO,BNO,BNO,"United States Brent Oil Fund, LP ETV",NYSE Arca,True,exact_symbol,,2026-06-25 07:20:24.952339+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,BOX,BOX,BOX,"Box, Inc. Class A Common Stock",NYSE,False,exact_symbol,,2026-06-25 07:20:24.960343+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,BP,BP,BP,BP p.l.c. Common Stock,NYSE,False,exact_symbol,,2026-06-25 07:20:24.968228+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,BUD,BUD,BUD,Anheuser-Busch Inbev SA Sponsored ADR (Belgium),NYSE,False,exact_symbol,,2026-06-25 07:20:24.978323+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,BURL,BURL,BURL,"Burlington Stores, Inc. Common Stock",NYSE,False,exact_symbol,,2026-06-25 07:20:24.987233+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,BX,BX,BX,Blackstone Inc. Common Stock,NYSE,False,exact_symbol,,2026-06-25 07:20:24.994365+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,BYND,BYND,BYND,"Beyond Meat, Inc. - Common stock",NASDAQ,False,exact_symbol,,2026-06-25 07:20:25.002425+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,BYRN,BYRN,BYRN,"Byrna Technologies, Inc. - Common Stock",NASDAQ,False,exact_symbol,,2026-06-25 07:20:25.014319+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,BZFD,BZFD,BZFD,"BuzzFeed, Inc. - Class A Common Stock",NASDAQ,False,exact_symbol,,2026-06-25 07:20:25.022337+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,C,C,C,"Citigroup, Inc. Common Stock",NYSE,False,exact_symbol,,2026-06-25 07:20:25.038345+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,CAG,CAG,CAG,"ConAgra Brands, Inc. Common Stock",NYSE,False,exact_symbol,,2026-06-25 07:20:25.048344+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,CASH,CASH,CASH,"Pathward Financial, Inc. - Common Stock",NASDAQ,False,exact_symbol,,2026-06-25 07:20:25.060346+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,CASY,CASY,CASY,"Caseys General Stores, Inc. - Common Stock",NASDAQ,False,exact_symbol,,2026-06-25 07:20:25.066298+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,CAT,CAT,CAT,"Caterpillar, Inc. Common Stock",NYSE,False,exact_symbol,,2026-06-25 07:20:25.072255+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,CB,CB,CB,Chubb Limited  Common Stock,NYSE,False,exact_symbol,,2026-06-25 07:20:25.084295+00:00
