momentum_bucket,signal_count,opened_trade_count,average_momentum,total_signal_net_profit,average_opened_trade_net_profit
0-5%,4640,1672,-0.013855330981873198,-20334.934932190106,-12.162042423558676
10%+,1504,848,0.17500059428873252,-47333.79582682475,-55.818155456161264
5-10%,1680,1128,0.07261475175983709,-29389.570668935405,-26.054583926361175
