work_key,payload,result
1099187:1:STT,"{""symbol"": ""STT"", ""market_id"": ""1099187"", ""pass_number"": 1}","{""model_status"": ""trained"", ""trades_opened"": 0, ""semantic_group"": ""earnings_beat+direct_company"", ""entry_decisions"": [{""opened"": false, ""reason"": ""daily_price_momentum_not_positive"", ""direction"": ""long"", ""portfolio"": ""machine_learning"", ""remaining_gap"": 0.010698833648597195, ""target_reached"": true, ""strategy_branch"": ""machine_learning"", ""directions_agree"": true, ""predicted_peak_percent"": 0.009614037487659599, ""predicted_target_price"": 130.3108912131663, ""realized_move_at_entry"": -0.0010847961609375956, ""classification_probability"": 0.5577691428149804, ""price_confirmation_momentum"": -0.0040894965612389145, ""polymarket_volume_statistics"": {""reason"": ""polymarket_volume_not_significant"", ""allowed"": false, ""gate_applied"": false, ""largest_hour_share"": null, ""active_volume_hours"": 0, ""pre_entry_volume_usdc"": 0.0, ""largest_hour_volume_usdc"": 0.0, ""median_active_hour_volume_usdc"": null, ""latest_completed_hour_volume_usdc"": 0.0}}], ""yes_outcome_polarity"": ""positive""}"
1099457:1:MTB,"{""symbol"": ""MTB"", ""market_id"": ""1099457"", ""pass_number"": 1}","{""model_status"": ""trained"", ""trades_opened"": 0, ""semantic_group"": ""earnings_beat+direct_company"", ""entry_decisions"": [{""opened"": false, ""reason"": ""semantic_long_only_rejects_short_prediction"", ""direction"": ""short"", ""portfolio"": ""machine_learning"", ""remaining_gap"": 0.01964260511137074, ""target_reached"": false, ""strategy_branch"": ""machine_learning"", ""directions_agree"": true, ""predicted_peak_percent"": -0.019985636221607664, ""predicted_target_price"": 199.9621242056569, ""realized_move_at_entry"": -0.00034303111023692434, ""classification_probability"": 0.39684316492384925, ""price_confirmation_momentum"": null, ""polymarket_volume_statistics"": {""reason"": ""polymarket_volume_quality_confirmed"", ""allowed"": true, ""gate_applied"": false, ""largest_hour_share"": 1.0, ""active_volume_hours"": 1, ""pre_entry_volume_usdc"": 18.65, ""largest_hour_volume_usdc"": 18.65, ""median_active_hour_volume_usdc"": 18.65, ""latest_completed_hour_volume_usdc"": 18.65}}], ""yes_outcome_polarity"": ""positive""}"
1107423:1:USO,"{""symbol"": ""USO"", ""market_id"": ""1107423"", ""pass_number"": 1}","{""model_status"": ""semantic_long_only_excluded"", ""trades_opened"": 0, ""semantic_group"": null, ""entry_decisions"": [{""opened"": false, ""reason"": ""semantic_group_not_positive_long_beneficiary"", ""semantic_group"": null, ""semantic_reason"": ""Explicit military-escalation Yes outcome; no conservative supported asset role"", ""strategy_branch"": ""none""}], ""yes_outcome_polarity"": ""ambiguous""}"
1107424:1:USO,"{""symbol"": ""USO"", ""market_id"": ""1107424"", ""pass_number"": 1}","{""model_status"": ""semantic_long_only_excluded"", ""trades_opened"": 0, ""semantic_group"": null, ""entry_decisions"": [{""opened"": false, ""reason"": ""semantic_group_not_positive_long_beneficiary"", ""semantic_group"": null, ""semantic_reason"": ""Explicit military-escalation Yes outcome; no conservative supported asset role"", ""strategy_branch"": ""none""}], ""yes_outcome_polarity"": ""ambiguous""}"
1114909:1:TSM,"{""symbol"": ""TSM"", ""market_id"": ""1114909"", ""pass_number"": 1}","{""model_status"": ""trained"", ""trades_opened"": 0, ""semantic_group"": ""earnings_beat+direct_company"", ""entry_decisions"": [{""opened"": false, ""reason"": ""classifier_and_ridge_directions_disagree"", ""direction"": ""long"", ""portfolio"": ""machine_learning"", ""remaining_gap"": -0.029380717215294967, ""target_reached"": true, ""strategy_branch"": ""machine_learning"", ""directions_agree"": false, ""predicted_peak_percent"": -0.003816042446234053, ""predicted_target_price"": 318.3903400812207, ""realized_move_at_entry"": 0.03319675966152902, ""classification_probability"": 0.5799042617637165, ""price_confirmation_momentum"": 0.10344470131198213, ""polymarket_volume_statistics"": {""reason"": ""polymarket_volume_not_significant"", ""allowed"": false, ""gate_applied"": false, ""largest_hour_share"": 1.0, ""active_volume_hours"": 1, ""pre_entry_volume_usdc"": 4.55, ""largest_hour_volume_usdc"": 4.55, ""median_active_hour_volume_usdc"": 4.55, ""latest_completed_hour_volume_usdc"": 4.55}}], ""yes_outcome_polarity"": ""positive""}"
1118155:1:IBKR,"{""symbol"": ""IBKR"", ""market_id"": ""1118155"", ""pass_number"": 1}","{""model_status"": ""trained"", ""trades_opened"": 0, ""semantic_group"": ""earnings_beat+direct_company"", ""entry_decisions"": [{""opened"": false, ""reason"": ""semantic_long_only_rejects_short_prediction"", ""direction"": ""short"", ""portfolio"": ""machine_learning"", ""remaining_gap"": 0.04403458328553173, ""target_reached"": false, ""strategy_branch"": ""machine_learning"", ""directions_agree"": true, ""predicted_peak_percent"": -0.0388647810197817, ""predicted_target_price"": 68.78844732909903, ""realized_move_at_entry"": 0.005169802265750034, ""classification_probability"": 0.35065257936614536, ""price_confirmation_momentum"": null, ""polymarket_volume_statistics"": {""reason"": ""polymarket_volume_not_significant"", ""allowed"": false, ""gate_applied"": false, ""largest_hour_share"": 1.0, ""active_volume_hours"": 1, ""pre_entry_volume_usdc"": 1.0, ""largest_hour_volume_usdc"": 1.0, ""median_active_hour_volume_usdc"": 1.0, ""latest_completed_hour_volume_usdc"": 1.0}}], ""yes_outcome_polarity"": ""positive""}"
1118156:1:UAL,"{""symbol"": ""UAL"", ""market_id"": ""1118156"", ""pass_number"": 1}","{""model_status"": ""trained"", ""trades_opened"": 0, ""semantic_group"": ""earnings_beat+direct_company"", ""entry_decisions"": [{""opened"": false, ""reason"": ""semantic_long_only_rejects_short_prediction"", ""direction"": ""short"", ""portfolio"": ""machine_learning"", ""remaining_gap"": 0.04906287480455716, ""target_reached"": true, ""strategy_branch"": ""machine_learning"", ""directions_agree"": true, ""predicted_peak_percent"": -0.019382278754204826, ""predicted_target_price"": 112.66316939540785, ""realized_move_at_entry"": 0.029680596050352337, ""classification_probability"": 0.4039326058531697, ""price_confirmation_momentum"": null, ""polymarket_volume_statistics"": {""reason"": ""polymarket_volume_not_significant"", ""allowed"": false, ""gate_applied"": false, ""largest_hour_share"": 1.0, ""active_volume_hours"": 1, ""pre_entry_volume_usdc"": 9.999984, ""largest_hour_volume_usdc"": 9.999984, ""median_active_hour_volume_usdc"": 9.999984, ""latest_completed_hour_volume_usdc"": 0.0}}], ""yes_outcome_polarity"": ""positive""}"
1118157:1:WTFC,"{""symbol"": ""WTFC"", ""market_id"": ""1118157"", ""pass_number"": 1}","{""model_status"": ""trained"", ""trades_opened"": 0, ""semantic_group"": ""earnings_beat+direct_company"", ""entry_decisions"": [{""opened"": false, ""reason"": ""semantic_long_only_rejects_short_prediction"", ""direction"": ""short"", ""portfolio"": ""machine_learning"", ""remaining_gap"": 0.031009263577395647, ""target_reached"": false, ""strategy_branch"": ""machine_learning"", ""directions_agree"": true, ""predicted_peak_percent"": -0.031490639563418805, ""predicted_target_price"": 140.82125509616688, ""realized_move_at_entry"": -0.0004813759860231581, ""classification_probability"": 0.34903210909251414, ""price_confirmation_momentum"": null, ""polymarket_volume_statistics"": {""reason"": ""polymarket_volume_not_significant"", ""allowed"": false, ""gate_applied"": false, ""largest_hour_share"": null, ""active_volume_hours"": 0, ""pre_entry_volume_usdc"": 0.0, ""largest_hour_volume_usdc"": 0.0, ""median_active_hour_volume_usdc"": null, ""latest_completed_hour_volume_usdc"": 0.0}}], ""yes_outcome_polarity"": ""positive""}"
1118261:1:BFC,"{""symbol"": ""BFC"", ""market_id"": ""1118261"", ""pass_number"": 1}","{""model_status"": ""trained"", ""trades_opened"": 0, ""semantic_group"": ""earnings_beat+direct_company"", ""entry_decisions"": [{""opened"": false, ""reason"": ""semantic_long_only_rejects_short_prediction"", ""direction"": ""short"", ""portfolio"": ""machine_learning"", ""remaining_gap"": 0.02758081607451073, ""target_reached"": false, ""strategy_branch"": ""machine_learning"", ""directions_agree"": true, ""predicted_peak_percent"": -0.025234340436349024, ""predicted_target_price"": 120.47128429577317, ""realized_move_at_entry"": 0.0023464756381617047, ""classification_probability"": 0.3759741462945539, ""price_confirmation_momentum"": null, ""polymarket_volume_statistics"": {""reason"": ""polymarket_volume_not_significant"", ""allowed"": false, ""gate_applied"": false, ""largest_hour_share"": 1.0, ""active_volume_hours"": 1, ""pre_entry_volume_usdc"": 3.85, ""largest_hour_volume_usdc"": 3.85, ""median_active_hour_volume_usdc"": 3.85, ""latest_completed_hour_volume_usdc"": 3.85}}], ""yes_outcome_polarity"": ""positive""}"
1118262:1:NFLX,"{""symbol"": ""NFLX"", ""market_id"": ""1118262"", ""pass_number"": 1}","{""model_status"": ""trained"", ""trades_opened"": 0, ""semantic_group"": ""earnings_beat+direct_company"", ""entry_decisions"": [{""opened"": false, ""reason"": ""daily_price_momentum_not_positive"", ""direction"": ""long"", ""portfolio"": ""machine_learning"", ""remaining_gap"": 0.006594102824939641, ""target_reached"": false, ""strategy_branch"": ""machine_learning"", ""directions_agree"": true, ""predicted_peak_percent"": 0.0076874603049536866, ""predicted_target_price"": 92.16309419692564, ""realized_move_at_entry"": 0.0010933574800140455, ""classification_probability"": 0.5243661275393364, ""price_confirmation_momentum"": -0.03327285089988541, ""polymarket_volume_statistics"": {""reason"": ""polymarket_volume_not_significant"", ""allowed"": false, ""gate_applied"": false, ""largest_hour_share"": null, ""active_volume_hours"": 0, ""pre_entry_volume_usdc"": 0.0, ""largest_hour_volume_usdc"": 0.0, ""median_active_hour_volume_usdc"": null, ""latest_completed_hour_volume_usdc"": 0.0}}], ""yes_outcome_polarity"": ""positive""}"
