exit_reason,trade_count,total_net_profit,win_rate,average_winner,average_loser,payoff_ratio,profit_factor,expectancy,largest_winner,largest_loser,maximum_consecutive_losses
daily_close_trailing_stop,33,-1496.4867190557993,0.030303030303030304,12.572509377360376,-47.15810088853625,0.26660338606673306,0.008331355814585408,-45.348082395630286,12.572509377360376,-111.74097468532993,29
ml_predicted_target_lock,15,19.543696909931544,0.4,24.802391672658487,-14.36340590289104,1.726776493008967,1.1511843286726446,1.3029131273287695,66.03695242990989,-41.57783481817986,3
one_day_before_market_end,36,2186.535613094938,0.8333333333333334,76.16220437798694,-16.388419707445006,4.647318395402555,23.236591977012775,60.73710036374828,321.88189402944045,-26.05960157829308,1
