momentum_bucket,signal_count,opened_trade_count,average_momentum,total_signal_net_profit,average_opened_trade_net_profit
0-5%,4592,1528,-0.019760024434756517,-11384.775834661346,-7.450769525301928
10%+,1592,920,0.17547682753426333,-51485.57196775712,-55.96257822582295
5-10%,1112,816,0.07464544450935881,-14966.82626236921,-18.34169885094266
