date,realized_daily_pnl,realized_signal_notional,daily_return,cumulative_pnl,drawdown
2025-06-24,-110.32831200132979,1000.0,-0.1103283120013298,-110.32831200132979,-110.32831200132979
2025-06-25,0.0,0.0,0.0,-110.32831200132979,-110.32831200132979
2025-06-26,-69.74669230210661,1000.0,-0.0697466923021066,-180.0750043034364,-180.0750043034364
2025-06-27,0.0,0.0,0.0,-180.0750043034364,-180.0750043034364
2025-06-30,0.0,0.0,0.0,-180.0750043034364,-180.0750043034364
2025-07-01,0.0,0.0,0.0,-180.0750043034364,-180.0750043034364
2025-07-02,0.0,0.0,0.0,-180.0750043034364,-180.0750043034364
2025-07-03,0.0,0.0,0.0,-180.0750043034364,-180.0750043034364
2025-07-04,0.0,0.0,0.0,-180.0750043034364,-180.0750043034364
2025-07-07,0.0,0.0,0.0,-180.0750043034364,-180.0750043034364
2025-07-08,0.0,0.0,0.0,-180.0750043034364,-180.0750043034364
2025-07-09,0.0,0.0,0.0,-180.0750043034364,-180.0750043034364
2025-07-10,0.0,0.0,0.0,-180.0750043034364,-180.0750043034364
2025-07-11,0.0,0.0,0.0,-180.0750043034364,-180.0750043034364
2025-07-14,0.0,0.0,0.0,-180.0750043034364,-180.0750043034364
2025-07-15,0.0,0.0,0.0,-180.0750043034364,-180.0750043034364
2025-07-16,0.0,0.0,0.0,-180.0750043034364,-180.0750043034364
2025-07-17,0.0,0.0,0.0,-180.0750043034364,-180.0750043034364
2025-07-18,0.0,0.0,0.0,-180.0750043034364,-180.0750043034364
2025-07-21,0.0,0.0,0.0,-180.0750043034364,-180.0750043034364
2025-07-22,0.0,0.0,0.0,-180.0750043034364,-180.0750043034364
2025-07-23,0.0,0.0,0.0,-180.0750043034364,-180.0750043034364
2025-07-24,0.0,0.0,0.0,-180.0750043034364,-180.0750043034364
2025-07-25,0.0,0.0,0.0,-180.0750043034364,-180.0750043034364
2025-07-28,0.0,0.0,0.0,-180.0750043034364,-180.0750043034364
2025-07-29,0.0,0.0,0.0,-180.0750043034364,-180.0750043034364
2025-07-30,69.5145873293916,1000.0,0.0695145873293916,-110.5604169740448,-110.5604169740448
2025-07-31,0.0,0.0,0.0,-110.5604169740448,-110.5604169740448
2025-08-01,0.0,0.0,0.0,-110.5604169740448,-110.5604169740448
2025-08-04,0.0,0.0,0.0,-110.5604169740448,-110.5604169740448
2025-08-05,0.0,0.0,0.0,-110.5604169740448,-110.5604169740448
2025-08-06,0.0,0.0,0.0,-110.5604169740448,-110.5604169740448
2025-08-07,0.0,0.0,0.0,-110.5604169740448,-110.5604169740448
