holding_days_bucket,trade_count,total_net_profit,win_rate,average_winner,average_loser,payoff_ratio,profit_factor,expectancy,largest_winner,largest_loser,maximum_consecutive_losses
0-1,6,-292.7429319451042,0.0,,-48.790488657517365,,0.0,-48.790488657517365,,-111.74097468532993,6
11-20,12,366.98613979199183,0.8333333333333334,39.478056908417805,-13.897214646093124,2.8407172166342076,14.20358608317104,30.582178315999318,162.7662282719709,-26.05960157829308,1
2-5,33,-630.0412253706288,0.30303030303030304,17.411748156564677,-34.963422040707634,0.4979989697888358,0.21652129121253733,-19.09215834456451,66.03695242990989,-110.32831200132979,8
21+,3,676.5969316325238,1.0,225.5323105441746,,,,225.5323105441746,225.5323105441746,,0
6-10,30,588.7936768402877,0.4666666666666667,85.76842917646934,-38.247770726892696,2.242442567147162,1.962137246253767,19.62645589467626,321.88189402944045,-88.73800143943394,7
