date,equity,benchmark_equity,cash,benchmark_shares,open_positions
2026-04-10,99935.64,99949.55,201.92,131,4
2026-04-13,100740.44,100925.62,433.71,123,6
2026-04-14,101814.14,102154.55,466.82,119,7
2026-04-15,102504.49,102960.1,468.12,115,8
2026-04-16,102742.99,103212.94,476.75,119,7
2026-04-17,103341.08,104459.5,586.57,115,8
2026-04-20,103243.22,104250.76,586.57,115,8
2026-04-21,102501.12,103568.68,586.57,115,8
2026-04-22,103392.89,104616.8,2590.27,119,6
2026-04-23,102776.46,104211.07,4844.56,119,5
2026-04-24,103429.86,105018.1,5015.63,107,8
2026-04-27,103488.86,105198.91,5771.58,106,8
2026-04-28,102743.57,104687.35,8156.36,102,8
2026-04-29,102620.6,104671.18,8656.66,101,8
2026-04-30,103642.32,105711.94,9933.28,99,8
2026-05-01,103551.15,106004.48,11098.02,97,8
2026-05-04,103126.66,105616.39,11779.69,96,8
2026-05-05,103748.58,106463.11,14211.83,108,4
2026-05-06,105105.57,107941.93,15184.14,103,5
2026-05-07,104974.36,107611.18,15824.14,102,5
2026-05-08,106445.32,108499.06,16152.63,106,4
2026-05-11,106188.69,108746.02,16211.11,106,4
2026-05-12,106133.21,108581.38,16808.07,90,8
2026-05-13,106527.83,109188.49,16808.07,90,8
2026-05-14,107345.6,110049.91,17750.36,92,7
2026-05-15,106552.89,108726.91,17750.36,92,7
2026-05-18,106678.67,108650.48,17750.36,92,7
2026-05-19,106186.57,107927.23,18212.76,91,7
2026-05-20,106931.87,109032.67,20003.96,84,8
2026-05-21,107265.04,109248.76,20707.35,83,8
2026-05-22,109058.66,109678.0,20707.35,83,8
2026-05-26,109616.54,110405.66,20707.35,83,8
2026-05-27,109428.7,110386.55,21318.78,62,8
2026-05-28,111610.09,110995.12,22454.67,78,4
2026-05-29,113424.94,111271.48,22454.67,78,4
2026-06-01,115304.74,111574.3,24279.94,120,0
2026-06-02,115428.35,111725.71,24279.94,120,0
