entry_year,trade_count,total_net_profit,win_rate,average_winner,average_loser,payoff_ratio,profit_factor,expectancy,largest_winner,largest_loser,maximum_consecutive_losses
2024,17,-396.3884824715094,0.17647058823529413,11.164754379114347,-30.705910400632316,0.3636027798376053,0.07791488139377256,-23.316969557147612,15.617588029828749,-63.53037674725779,11
2025,136,1536.2325286120658,0.5514705882352942,41.59127870513257,-25.95267826676847,1.602581370508831,1.9703869309534807,11.29582741626519,180.4335827661682,-101.44920347767783,14
2026,182,464.24438653234375,0.3626373626373626,67.09739806832764,-34.17399901704552,1.9634049276720698,1.117109700227212,2.5507933325952954,321.88189402944045,-135.18947511139774,19
