event_archetype,trade_count,total_net_profit,win_rate,average_winner,average_loser,payoff_ratio,profit_factor,expectancy,largest_winner,largest_loser,maximum_consecutive_losses
earnings_beat+direct_company,78,547.7718902422122,0.48717948717948717,50.23298333638778,-34.027036913513086,1.476266754112782,1.402453416407143,7.0227165415668225,321.88189402944045,-135.18947511139774,8
military_escalation+defense_beneficiary,184,285.21526585584786,0.42391304347826086,39.70083676623418,-26.523113225569986,1.49683924464644,1.101447746060588,1.5500829666078688,180.4335827661682,-74.81553398058252,19
military_escalation+energy_beneficiary,73,771.1012765748402,0.3835616438356164,91.99106442796098,-40.10330060906816,2.2938527011704357,1.4272861251727156,10.563031185956715,272.31606831173696,-105.24587162021872,12
