momentum_bucket,signal_count,opened_trade_count,average_momentum,total_signal_net_profit,average_opened_trade_net_profit
0-5%,16464,6000,-5.853668317990248e-06,-16046.417831700808,-2.6744029719501348
10%+,2616,1528,0.1701756732937397,-84194.32943503039,-55.101000939156016
5-10%,4824,2792,0.06813955202576204,-40480.73246768191,-14.498829680401832
