exit_reason,trade_count,total_net_profit,win_rate,average_winner,average_loser,payoff_ratio,profit_factor,expectancy,largest_winner,largest_loser,maximum_consecutive_losses
daily_close_trailing_stop,255,-7660.697555826719,0.11764705882352941,30.040574397265946,-38.052954612198654,0.7894413115463004,0.10525884153950671,-30.041951199320465,84.29460030034123,-135.18947511139774,84
ml_predicted_target_lock,54,1467.1448562529645,0.6481481481481481,50.7568229668398,-16.281260399285724,3.11749961133639,5.742762441935456,27.169349189869713,272.31606831173696,-63.337109775465784,5
one_day_before_market_end,192,7055.528085789396,0.671875,62.08022459109601,-15.124141054952236,4.1047107644350165,8.404883946224082,36.74754211348644,1679.0122789247175,-47.23990677061786,15
