momentum_bucket,signal_count,opened_trade_count,average_momentum,total_signal_net_profit,average_opened_trade_net_profit
0-5%,16464,6000,-5.853668317964246e-06,-16046.41783170049,-2.6744029719500815
10%+,2616,1528,0.17017567329374067,-84194.32943503147,-55.10100093915672
5-10%,4824,2792,0.06813955202576162,-40480.73246768226,-14.498829680401956
