momentum_bucket,signal_count,opened_trade_count,average_momentum,total_signal_net_profit,average_opened_trade_net_profit
0-5%,16464,6000,-5.853668317996021e-06,-16046.417831700892,-2.6744029719501485
10%+,2616,1528,0.17017567329373956,-84194.32943503045,-55.10100093915605
5-10%,4824,2792,0.06813955202576202,-40480.7324676819,-14.498829680401826
