momentum_bucket,signal_count,opened_trade_count,average_momentum,total_signal_net_profit,average_opened_trade_net_profit
0-5%,16464,6000,-5.853668318016628e-06,-16046.417831700783,-2.6744029719501303
10%+,2616,1528,0.17017567329373984,-84194.32943503027,-55.10100093915594
5-10%,4824,2792,0.06813955202576222,-40480.732467681926,-14.498829680401837
