holding_days_bucket,trade_count,total_net_profit,win_rate,average_winner,average_loser,payoff_ratio,profit_factor,expectancy,largest_winner,largest_loser,maximum_consecutive_losses
0-1,7,-250.9597977550115,0.2857142857142857,11.701608928335105,-54.87260312233634,0.21325047951974907,0.08530019180789963,-35.851399679287354,12.316102223258776,-111.74097468532993,3
11-20,64,1075.919962803734,0.65625,43.58789808251398,-34.307807120993324,1.270495019655222,2.42549049206906,16.811249418808345,162.7662282719709,-90.60450819749845,4
2-5,100,-1251.5872339353564,0.37,18.172878255501256,-30.539424276014334,0.5950628961193036,0.34948138343514656,-12.515872339353564,52.71503482512235,-105.24587162021872,23
21+,24,1908.2195533382132,0.7083333333333334,125.04443733442649,-31.076554478148143,4.023754867108997,9.771976105836137,79.50914805575889,617.923261740449,-48.15330908433443,6
6-10,126,1008.6274742724911,0.4365079365079365,59.68925252590939,-32.03213260073979,1.8634180018513924,1.4434928183355857,8.00497995454358,272.31606831173696,-156.9690824239157,26
