momentum_bucket,signal_count,opened_trade_count,average_momentum,total_signal_net_profit,average_opened_trade_net_profit
0-5%,16464,6000,-5.853668318014066e-06,-16046.417831700877,-2.6744029719501463
10%+,2616,1528,0.17017567329373934,-84194.32943503061,-55.10100093915616
5-10%,4824,2792,0.06813955202576219,-40480.73246768186,-14.498829680401812
