event_archetype,trade_count,total_net_profit,win_rate,average_winner,average_loser,payoff_ratio,profit_factor,expectancy,largest_winner,largest_loser,maximum_consecutive_losses
earnings_beat+direct_company,66,32.926981799440924,0.4696969696969697,49.574536448423956,-42.96810423147719,1.153752005938095,1.021894633830884,0.4988936636278928,252.47444878989185,-156.9690824239157,10
military_escalation+defense_beneficiary,183,185.03360506477577,0.4262295081967213,38.289319566910194,-26.681269725278273,1.4350636218273474,1.0660472619288865,1.0111125959823812,169.82191599344074,-74.81553398058252,22
military_escalation+energy_beneficiary,72,2272.2593718598537,0.6111111111111112,77.54041364240757,-40.697101014502834,1.905305579745723,2.9940516253147074,31.55915794249797,617.923261740449,-105.24587162021872,8
