momentum_bucket,signal_count,opened_trade_count,average_momentum,total_signal_net_profit,average_opened_trade_net_profit
0-5%,16464,6000,-5.853668318008266e-06,-18292.850270731706,-3.048808378455284
10%+,2616,1528,0.17017567329373962,-88642.06741313223,-58.01182422325408
5-10%,4824,2792,0.06813955202576201,-39153.32848979808,-14.023398456231403
